domain,fault_type,controller,seed,tsvr,intervention_rate,oasg
aerospace,noise,nominal,3002,0.0,0.0,1.0
aerospace,noise,nominal,3003,0.0,0.0,1.0
aerospace,noise,nominal,3004,0.0,0.0,1.0
aerospace,noise,dc3s,3000,0.0,0.0,0.916667
aerospace,noise,dc3s,3001,0.0,0.0,0.916667
aerospace,noise,dc3s,3002,0.0,0.0,0.916667
aerospace,noise,dc3s,3003,0.0,0.0,0.916667
aerospace,noise,dc3s,3004,0.0,0.0,0.916667
vehicle,noise,nominal,3000,0.416667,0.0,1.0
vehicle,noise,nominal,3001,0.416667,0.0,1.0
vehicle,noise,nominal,3002,0.416667,0.0,1.0
vehicle,noise,nominal,3003,0.416667,0.0,1.0
vehicle,noise,nominal,3004,0.416667,0.0,1.0
vehicle,noise,dc3s,3000,0.0,0.0,1.0
vehicle,noise,dc3s,3001,0.0,0.0,1.0
vehicle,noise,dc3s,3002,0.0,0.0,1.0
vehicle,noise,dc3s,3003,0.0,0.0,1.0
vehicle,noise,dc3s,3004,0.0,0.0,1.0
battery,stuck_sensor,nominal,3000,0.875,0.0,1.0
battery,stuck_sensor,nominal,3001,0.875,0.0,1.0
battery,stuck_sensor,nominal,3002,0.875,0.0,1.0
battery,stuck_sensor,nominal,3003,0.875,0.0,1.0
battery,stuck_sensor,nominal,3004,0.875,0.0,1.0
battery,stuck_sensor,dc3s,3000,0.9375,0.0,1.0
battery,stuck_sensor,dc3s,3001,0.9375,0.0,1.0
battery,stuck_sensor,dc3s,3002,0.9375,0.0,1.0
battery,stuck_sensor,dc3s,3003,0.9375,0.0,1.0
battery,stuck_sensor,dc3s,3004,0.9375,0.0,1.0
navigation,stuck_sensor,nominal,3000,0.0,0.0,1.0
navigation,stuck_sensor,nominal,3001,0.0,0.0,1.0
navigation,stuck_sensor,nominal,3002,0.0,0.0,1.0
navigation,stuck_sensor,nominal,3003,0.0,0.0,1.0
navigation,stuck_sensor,nominal,3004,0.0,0.0,1.0
navigation,stuck_sensor,dc3s,3000,0.583333,0.0,0.808368
navigation,stuck_sensor,dc3s,3001,0.083333,0.0,1.0
navigation,stuck_sensor,dc3s,3002,0.645833,0.0,0.65
navigation,stuck_sensor,dc3s,3003,0.0,0.0,1.0
navigation,stuck_sensor,dc3s,3004,0.0,0.0,1.0
industrial,stuck_sensor,nominal,3000,0.0,0.0,1.0
industrial,stuck_sensor,nominal,3001,0.0,0.0,1.0
industrial,stuck_sensor,nominal,3002,0.0,0.0,1.0
industrial,stuck_sensor,nominal,3003,0.0,0.0,1.0
industrial,stuck_sensor,nominal,3004,0.0,0.0,1.0
industrial,stuck_sensor,dc3s,3000,0.0,0.0,1.0
