fault_type,count,covered,miss_count,avg_interval_width,avg_abs_residual,empirical_coverage,under_coverage_gap
delay_jitter,685,670,15,219.72740380350936,18.435180283520488,0.9781021897810219,0.0
drift_combo,637,616,21,165.8641870781819,19.199582679722994,0.967032967032967,0.0
dropout,515,513,2,199.4343639250202,17.343470714828378,0.996116504854369,0.0
out_of_order,646,643,3,199.42291274163657,31.22871997572434,0.9953560371517027,0.0
spikes,336,336,0,217.44096460817622,17.320503028315102,1.0,0.0
stale,654,648,6,177.19806882962547,15.279919939420756,0.9908256880733946,0.0
