t,effective_alpha,miss_streak,mode
212,0.05,0,aci_clipped
213,0.05,0,aci_clipped
214,0.05,0,aci_clipped
215,0.05,0,aci_clipped
216,0.05,0,aci_clipped
217,0.05,0,aci_clipped
218,0.05,0,aci_clipped
219,0.05,0,aci_clipped
220,0.05,0,aci_clipped
221,0.05,0,aci_clipped
222,0.05,0,aci_clipped
223,0.05,0,aci_clipped
224,0.05,0,aci_clipped
225,0.05,0,aci_clipped
226,0.05,0,aci_clipped
227,0.05,0,aci_clipped
228,0.05,0,aci_clipped
229,0.05,0,aci_clipped
230,0.05,0,aci_clipped
231,0.05,0,aci_clipped
232,0.05,0,aci_clipped
233,0.05,0,aci_clipped
234,0.05,0,aci_clipped
235,0.05,0,aci_clipped
236,0.05,0,aci_clipped
237,0.05,0,aci_clipped
238,0.05,0,aci_clipped
239,0.05,0,aci_clipped
240,0.05,0,aci_clipped
241,0.05,0,aci_clipped
242,0.05,0,aci_clipped
243,0.05,0,aci_clipped
244,0.05,0,aci_clipped
245,0.05,0,aci_clipped
246,0.05,0,aci_clipped
247,0.05,0,aci_clipped
248,0.05,0,aci_clipped
249,0.05,0,aci_clipped
250,0.05,0,aci_clipped
251,0.05,0,aci_clipped
252,0.05,0,aci_clipped
253,0.05,0,aci_clipped
254,0.05,0,aci_clipped
255,0.05,0,aci_clipped
256,0.05,0,aci_clipped
257,0.05,0,aci_clipped
258,0.05,0,aci_clipped
259,0.05,0,aci_clipped
260,0.05,0,aci_clipped
261,0.05,0,aci_clipped
262,0.05,0,aci_clipped
263,0.05,0,aci_clipped
264,0.05,0,aci_clipped
265,0.05,0,aci_clipped
266,0.05,0,aci_clipped
267,0.05,0,aci_clipped
268,0.05,0,aci_clipped
269,0.05,0,aci_clipped
270,0.05,0,aci_clipped
271,0.05,0,aci_clipped
272,0.05,0,aci_clipped
273,0.05,0,aci_clipped
274,0.05,0,aci_clipped
275,0.05,0,aci_clipped
276,0.05,0,aci_clipped
277,0.05,0,aci_clipped
278,0.05,0,aci_clipped
