volatility_bin,count,covered,miss_count,avg_interval_width,avg_abs_residual,empirical_coverage,under_coverage_gap
0,3280,3239,41,203.29187071288686,19.402151608884886,0.9875,0.0
1,103,97,6,193.38565526268673,29.213530898902363,0.941747572815534,0.0
2,70,70,0,199.8818354720772,11.836676934108105,1.0,0.0
3,16,16,0,189.71104435850006,11.120828474760815,1.0,0.0
4,4,4,0,115.8648465895539,22.568043741391545,1.0,0.0
