target,steps,num_groups,max_under_coverage_gap,final_validity_score,final_validity_status,shift_alert_rate
ego_speed_mps,1531104,2355,0.9,0.843534053142011,nominal,0.00032133676092544985
relative_gap_m,1531104,2480,0.9,0.7036350653186128,watch,0.0789841839613769
