rmse,mae,mape,smape,target,model,daylight_mape
211.1099686007024,111.44578763515571,0.001383005581060905,0.0013837949950884533,load_mw,GBM,
13411.260866566116,10238.471109038774,0.1290998477615506,0.1346894485583618,load_mw,LSTM,
10337546.139309801,8305268.588347409,112.0459940062566,1.938473840489906,load_mw,TCN,
4312.909128334368,3185.957712881307,0.04169515671663229,0.04175597296453603,load_mw,Persistence,
12411.628450075548,10782.008009813826,0.9836917304084284,1.9673834608137406,wind_mw,GBM,
12492.957293500665,10925.599039104149,622.4913997410354,1.999989700380644,wind_mw,LSTM,
12387.463213009505,10764.866388547784,650182.9154599082,1.866355859731895,wind_mw,TCN,
6212.898989479625,4747.673630186497,1023182015.9474499,0.48670718749516045,wind_mw,Persistence,
4760.943700726715,2829.769375090201,0.9305094530235243,1.8610189014589982,solar_mw,GBM,1.0
4792.066895724467,2867.4839629486974,162219.74691763284,1.9865236159807007,solar_mw,LSTM,1.0000471658770034
4606.334635780951,2893.23033008698,1839821087.11728,1.753898001938242,solar_mw,TCN,97.73228103944138
1302.601089671936,623.2748301286686,18649704.716548745,0.5079179844304191,solar_mw,Persistence,1.1670209654967678
