controller,fault_family,target,coverage,mean_width
baseline,delay_jitter,ego_speed_mps,0.956794425087108,2.826742839929608
baseline,delay_jitter,relative_gap_m,0.8982578397212544,89.16342785509805
baseline,drift_combo,ego_speed_mps,0.9292682926829268,2.818559876933663
baseline,drift_combo,relative_gap_m,0.899390243902439,88.16144452216724
baseline,dropout,ego_speed_mps,0.943309162821358,2.4514835416759784
baseline,dropout,relative_gap_m,0.8806855636123929,89.73019755206455
baseline,out_of_order,ego_speed_mps,0.9336358479863868,2.3616494120306677
baseline,out_of_order,relative_gap_m,0.9273964832671584,86.6068439495974
baseline,spikes,ego_speed_mps,0.8929539295392954,2.5458414539846927
baseline,spikes,relative_gap_m,0.9166666666666666,89.86111743847965
baseline,stale,ego_speed_mps,0.8846407382992749,2.748893511031679
baseline,stale,relative_gap_m,0.957811470006592,87.19102785870798
orius,delay_jitter,ego_speed_mps,0.997212543554007,5.761377812820837
orius,delay_jitter,relative_gap_m,0.9804878048780488,203.8083492924432
orius,drift_combo,ego_speed_mps,1.0,5.068182863582206
orius,drift_combo,relative_gap_m,0.977439024390244,183.11277781272327
orius,dropout,ego_speed_mps,0.998681608437706,4.318132200782463
orius,dropout,relative_gap_m,0.987475280158207,174.25447672365823
orius,out_of_order,ego_speed_mps,0.9977311401020988,4.66566414265464
orius,out_of_order,relative_gap_m,0.9812819058423142,192.40344063991955
orius,spikes,ego_speed_mps,0.9979674796747968,6.4060113019374185
orius,spikes,relative_gap_m,1.0,264.27887549783253
orius,stale,ego_speed_mps,0.989452867501648,5.473214399129729
orius,stale,relative_gap_m,0.984179301252472,180.72162183928205
