controller,tsvr,oasg,cva,gdq,intervention_rate,audit_completeness,recovery_latency,n_steps
baseline,0.6598202824133504,0.0115532734274711,1.0,0.0605577205601972,0.0,0.0,0.0,9348
orius,0.6275139067180145,0.1157466837826273,1.0,0.0255776351056428,0.9017971758664955,1.0,0.0,9348
