domain,signature,exposure_rate,severity,blindness,ci_low,ci_high
Battery,0.103265,0.054688,1.888269,1.000000,0.032096,0.212558
Autonomous Vehicles,73.053617,0.426090,171.451199,0.681247,72.546420,73.602975
