k_quality,k_drift,infl_max,violation_rate_mean,picp_90_mean,mean_interval_width_mean
0.4,0.0,2.0,0.0,0.7678571666666666,567.9180705
0.4,0.0,3.0,0.0,0.7678571666666666,567.9180705
0.4,0.6,2.0,0.0,0.7678571666666666,573.0173118333333
0.4,0.6,3.0,0.0,0.7678571666666666,573.0173118333333
0.8,0.0,2.0,0.0,0.7678571666666666,585.4247906666666
0.8,0.0,3.0,0.0,0.7678571666666666,585.744328
0.8,0.6,2.0,0.0,0.7678571666666666,590.5240319999999
0.8,0.6,3.0,0.0,0.7678571666666666,590.8435693333333
1.2,0.0,2.0,0.0,0.7678571666666666,595.6687786666666
1.2,0.0,3.0,0.0,0.7678571666666666,603.5705853333333
1.2,0.6,2.0,0.0,0.7678571666666666,600.76802
1.2,0.6,3.0,0.0,0.7678571666666666,608.6698268333333
