policy,blackout_length,initial_soc_pct,sigma_d,tau_t,violations_total,violation_rate
freeze_last_action,48,0.5,2.0,6,0,0.0
immediate_shutdown,48,0.5,2.0,6,0,0.0
dc3s_no_temporal,48,0.5,2.0,6,0,0.0
half_life_aware,48,0.5,2.0,6,0,0.0
freeze_last_action,48,0.5,3.0,6,0,0.0
immediate_shutdown,48,0.5,3.0,6,0,0.0
dc3s_no_temporal,48,0.5,3.0,6,0,0.0
half_life_aware,48,0.5,3.0,6,0,0.0
freeze_last_action,48,0.6,0.5,6,0,0.0
immediate_shutdown,48,0.6,0.5,6,0,0.0
dc3s_no_temporal,48,0.6,0.5,6,0,0.0
half_life_aware,48,0.6,0.5,6,0,0.0
freeze_last_action,48,0.6,1.0,5,0,0.0
immediate_shutdown,48,0.6,1.0,5,0,0.0
dc3s_no_temporal,48,0.6,1.0,5,0,0.0
half_life_aware,48,0.6,1.0,5,0,0.0
freeze_last_action,48,0.6,2.0,5,0,0.0
immediate_shutdown,48,0.6,2.0,5,0,0.0
dc3s_no_temporal,48,0.6,2.0,5,0,0.0
half_life_aware,48,0.6,2.0,5,0,0.0
freeze_last_action,48,0.6,3.0,4,0,0.0
immediate_shutdown,48,0.6,3.0,4,0,0.0
dc3s_no_temporal,48,0.6,3.0,4,0,0.0
half_life_aware,48,0.6,3.0,4,0,0.0
freeze_last_action,48,0.8,0.5,2,0,0.0
immediate_shutdown,48,0.8,0.5,2,0,0.0
dc3s_no_temporal,48,0.8,0.5,2,0,0.0
half_life_aware,48,0.8,0.5,2,0,0.0
freeze_last_action,48,0.8,1.0,2,0,0.0
immediate_shutdown,48,0.8,1.0,2,0,0.0
dc3s_no_temporal,48,0.8,1.0,2,0,0.0
half_life_aware,48,0.8,1.0,2,0,0.0
freeze_last_action,48,0.8,2.0,2,0,0.0
immediate_shutdown,48,0.8,2.0,2,0,0.0
dc3s_no_temporal,48,0.8,2.0,2,0,0.0
half_life_aware,48,0.8,2.0,2,0,0.0
freeze_last_action,48,0.8,3.0,2,0,0.0
immediate_shutdown,48,0.8,3.0,2,0,0.0
dc3s_no_temporal,48,0.8,3.0,2,0,0.0
half_life_aware,48,0.8,3.0,2,0,0.0
