bin_id,reliability_lower,reliability_upper,n,picp,mean_interval_width,qhat
0,0.0,0.7140166666666666,16,0.9375,4937.813243750001,0.47805000000062137
1,0.7140166666666666,0.8210666666666667,16,1.0,4277.7546125,0.3572999999996682
2,0.8210666666666667,1.0,64,0.90625,934.6161343749999,30.86879000000005
