state_of_health,width_multiplier
1.0,1.0
0.98,1.032
0.96,1.064
0.94,1.096
0.9199999999999999,1.1280000000000001
0.9,1.16
0.88,1.192
0.86,1.224
0.84,1.256
0.82,1.288
0.7999999999999999,1.32
0.78,1.3519999999999999
0.76,1.384
0.74,1.416
0.72,1.448
0.7,1.48
