command_id,cert_hash,has_safe_action,has_proposed_action,step,scenario
790d4416-d0e5-44c3-9a0e-c931c7360ec5,e4e13182aa418382d31a631c3d26b023ef77a5aa54318c9f7801513d27934601,True,True,34,nominal
7a1418b2-4cdf-43ba-b110-8c0c928c4a63,b60c010ce9fdbf12b7892e771a933142e79f552cda34e9005a567b6131c31b1b,True,True,35,nominal
48a9982a-3b56-48bd-98e3-725a7c79582e,5f57b63e04c6091528ba6ddb861121f6f77d63e9acac60f1241353cb3371c7af,True,True,36,nominal
d8c0cf69-02ac-4070-9605-c154001747d8,baf3d49240ccf58160e79adf2823c257f8976ec3e4ae6e152e5cf77d5295243f,True,True,37,nominal
7c104f65-b73a-4f27-ace5-42e52cb50f76,51615a75f295f8cf0bf28b755e42216258e1932fb72c9c50e6604b1e090dad00,True,True,38,nominal
b637ff8b-5d18-43f2-ac95-fb480d93080f,13733ae106bb3f1af09ca0647b3e7f1b2334807ad0988a6d73b803c721fec1c9,True,True,39,nominal
02955539-de07-482e-8a20-28a254124d06,49d7ebf52ba09e7e50a8818868234e08e3caf86f21ea49c75c89cf125d800be6,True,True,40,nominal
9d865b18-41e3-4dd4-855d-392b3b900749,3a7cb587c943a396208575346e01278a4886050889d382e42d6da1fcc9402a5c,True,True,41,nominal
826cf786-1027-4205-8df2-bf6959394337,236cbf5e5556af1a460e6b7272b1138346a8e1be9fd61328fb841add03156803,True,True,42,nominal
6ec082f3-ac25-4ed5-a375-ffb5bbd1cd91,146074d2e09f5c831c63fa44cd30fe56a50659ed5106f33046b57a5d6d6704f8,True,True,43,nominal
ab9fabae-65a7-4453-bdc8-490b17bca01f,528a67f02182f7f2c33ade6bbc632f39ade1dd44bae39b026448b5e0a6e49172,True,True,44,nominal
8be0cea4-1d38-43fb-a24d-d1b7d0c1b72f,18c92c0a2ed8bfa4fb8aad8d7e3383c06f2f012a13a5f1b97846cf828f905574,True,True,45,nominal
c461b771-80da-4a06-8237-e0b54037856a,cb21fee21bfe6e439fa58faf3b4be07947933faec62f4b0fcbc6bf3ad8039f3f,True,True,46,nominal
f50b3951-87c9-4479-9afa-c2fc8fd74458,b93a06f9ca911362e57bbb8be2529b1d1d7f37fc4a9f6e17bc5d6f1eb8fad842,True,True,47,nominal
68a271ba-ed81-455f-b896-260fbde1ef69,6565cd7787c2719b530c58d5a22bbfe28ddc5900a32093802b393b0889cc5081,True,True,0,dropout
5c177136-9e8e-40c8-8d28-b250f10f0eb0,f6143203d60ccc000393a883d9869fcc996ca2e32b5257d5830288319bc48a6a,True,True,1,dropout
a1fcb712-855b-4289-9185-2e29b0040dd8,d8b3d2fdb079645b4c1210b698ac86a3a039066485999ff3a41d6fdc20525636,True,True,2,dropout
c55ef356-bfbe-4e12-ad54-296c11c8803d,c7a0c780bc7386d715c24eb0580434dae2f76da981584040e9531990b61fb46f,True,True,3,dropout
