component,mean_ms,median_ms,p95_ms,p99_ms,max_ms
Reliability scoring,0.0190,0.0185,0.0207,0.0295,0.1235
Drift update (Page-Hinkley),0.0004,0.0004,0.0004,0.0005,0.0178
Uncertainty set build,0.0095,0.0093,0.0097,0.0155,0.0821
Action repair (projection),0.0018,0.0018,0.0019,0.0020,0.0580
Full DC3S step,0.0331,0.0320,0.0375,0.0550,0.1564
