source_type,source_key,table,column,rows,na_count,na_ratio,allowed_max_ratio,allowed,status
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,device_id,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,dispatched_at,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,queued_at,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,status,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,zone_id,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,device_id,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_active,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_ack_json,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_command_id,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_command_json,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_reliability_flags_json,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_reliability_w,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_telemetry_json,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_ts_utc,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,updated_at,2,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,created_at,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,device_id,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,payload_json,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,reliability_flags_json,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,reliability_w,672,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,ts_utc,672,0,0.0,0.0,True,ok
duckdb,data/interim/streaming.duckdb::telemetry_events,telemetry_events,ingested_at,1,0,0.0,0.0,True,ok
duckdb,data/interim/streaming.duckdb::telemetry_events,telemetry_events,payload,1,0,0.0,0.0,True,ok
duckdb,data/interim/streaming.duckdb::telemetry_events,telemetry_events,utc_timestamp,1,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_lag_1,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_lag_168,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_lag_24,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_roll_mean_168,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_roll_mean_24,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_roll_std_168,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,carbon_kg_per_mwh_roll_std_24,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,dayofweek,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,hour,17377,0,0.0,0.0,True,ok
parquet,data/processed/features.parquet,not_applicable,is_daylight,17377,0,0.0,0.0,True,ok
