bucket,count,predicted_w_mean,target_w_mean,mae,fault_rate
mid,105,0.6227927803993225,0.6136280164636737,0.3725659892300345,0.4
high,2247,0.9133594036102295,0.9007283972748649,0.15532017956331923,0.1375166889185581
