trace_id,lane,controller,controller_label,fault_family,seed,step_index,reliability_w,widening_factor,drift_score,dispatch_regime,candidate_charge_mw,candidate_discharge_mw,safe_charge_mw,safe_discharge_mw,true_value,observed_value,true_margin,observed_margin,interval_lower,interval_upper,true_constraint_violated,observed_constraint_satisfied,intervened,fallback_used,certificate_valid,certificate_predicted_valid,useful_work,certificate_schema_version,certificate_hash,prev_hash,issuer,domain,action,theorem_contracts
heuristic:nominal:55:dc3s_wrapped:10,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,10,1.0,1.000162344559109,0.0032468911821819,hold,0.0,0.0,0.0,0.0,5000.0,4999.751521603798,5000.0,4999.751521603798,57902.44229294288,58406.79454684964,False,True,False,False,True,True,1.0,orius.certificate.v1,7363cbb1a00ad66a921bfcdbf053dad2676cd5be705034fdc9cf0cf9053ed448,501fce698258edb40c7673889d5db908c2a00926d7622156388960ea130bcdce,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:11,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,11,1.0,1.0031148521259332,0.062297042518663,hold,0.0,0.0,0.0,0.0,5000.0,5000.317715486366,5000.0,4999.682284513634,57799.83160781364,58320.58351422816,False,True,False,False,True,True,1.0,orius.certificate.v1,55db7404b836b623edad874727f470fd4019008774d3865e107e42fa16e7c3d4,7363cbb1a00ad66a921bfcdbf053dad2676cd5be705034fdc9cf0cf9053ed448,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:12,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,12,1.0,1.0025922957356366,0.051845914712733,hold,0.0,0.0,0.0,0.0,5000.0,5000.041784046426,5000.0,4999.958215953574,55992.79645990945,56510.63944306103,False,True,False,False,True,True,1.0,orius.certificate.v1,b4faac07ddf117c78b391148a80942159e79b76e4b0cf5334fb65e0a29143d3f,55db7404b836b623edad874727f470fd4019008774d3865e107e42fa16e7c3d4,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:13,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,13,1.0,1.002114934005086,0.0422986801017218,discharge,0.0,200.0,0.0,200.0,4789.473684210527,4789.7613459049035,4789.473684210527,4789.7613459049035,54535.91304138616,55051.101090226904,False,True,False,False,True,True,1.0,orius.certificate.v1,a4959240f80e745f99abcfc3063cacd1a53599c462ef0172558516da96e37e51,b4faac07ddf117c78b391148a80942159e79b76e4b0cf5334fb65e0a29143d3f,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:14,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,14,1.0,1.0047293778188209,0.0945875563764142,hold,0.0,0.0,0.0,0.0,4789.473684210527,4789.637626225584,4789.473684210527,4789.637626225584,53369.78211019801,53899.53899438707,False,True,False,False,True,True,1.0,orius.certificate.v1,1d9bf52dd16f23e5f1860772c56b96c1c4350fc302561780e92b23a3b7e82546,a4959240f80e745f99abcfc3063cacd1a53599c462ef0172558516da96e37e51,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:15,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,15,1.0,1.001053013418316,0.0210602683663183,hold,0.0,0.0,0.0,0.0,4789.473684210527,4789.59117136047,4789.473684210527,4789.59117136047,50843.4297062932,51352.71991957206,False,True,False,False,True,True,1.0,orius.certificate.v1,deca855f0c3a10b7d925bef1abfe0b21aa23b3d948d2e1e6541030daf8bb477a,1d9bf52dd16f23e5f1860772c56b96c1c4350fc302561780e92b23a3b7e82546,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 0.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:16,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,16,1.0,1.0040671359946896,0.081342719893789,discharge,0.0,200.0,0.0,200.0,4578.947368421053,4578.986602843555,4578.947368421053,4578.986602843555,50296.97519288223,50823.03526442046,False,True,False,False,True,True,1.0,orius.certificate.v1,80915c98ffd31f4d6500e685f1d3f600b6ee62d9137c3b53a3308163931298e9,deca855f0c3a10b7d925bef1abfe0b21aa23b3d948d2e1e6541030daf8bb477a,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:17,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,17,1.0,1.004047335722602,0.0809467144520427,discharge,0.0,200.0,0.0,200.0,4368.42105263158,4368.533157618481,4368.42105263158,4368.533157618481,48240.68625254835,48766.63586161164,False,True,False,False,True,True,1.0,orius.certificate.v1,82bdf881cf285cfdcca0c87edb4dc4ad4594ff88c4945171eb9e8ad99cb4ab32,80915c98ffd31f4d6500e685f1d3f600b6ee62d9137c3b53a3308163931298e9,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:18,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,18,1.0,1.0000834436184292,0.0016688723685835,discharge,0.0,200.0,0.0,200.0,4157.894736842107,4157.9960137555245,4157.894736842107,4157.9960137555245,46288.59745427067,46792.512658423206,False,True,False,False,True,True,1.0,orius.certificate.v1,097476af32e5bccb30412c572f0e38a7496778ef42c8e855fe3f45ab81ebff0d,82bdf881cf285cfdcca0c87edb4dc4ad4594ff88c4945171eb9e8ad99cb4ab32,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
heuristic:nominal:55:dc3s_wrapped:19,heuristic,dc3s_wrapped,heuristic:dc3s_wrapped,nominal,55,19,1.0,1.0018825994940694,0.0376519898813906,discharge,0.0,200.0,0.0,200.0,3947.368421052633,3947.6500070225034,3947.368421052633,3947.6500070225034,46322.44182541294,46836.33853363301,False,True,False,False,True,True,1.0,orius.certificate.v1,6d45042cf6a15251266963b55c8f90ad8f26b85aef0151981c82b1339e3b4447,097476af32e5bccb30412c572f0e38a7496778ef42c8e855fe3f45ab81ebff0d,orius.battery.runtime_trace,battery,"{""charge_mw"": 0.0, ""discharge_mw"": 200.0}","{""T11"": ""battery_witness_runtime_certificate""}"
