domain,ablation_name,baseline_family,evidence_status,baseline_tsvr,orius_tsvr,absolute_delta,relative_delta,baseline_intervention_rate,orius_intervention_rate,metric_surface,n_steps,runtime_source,note
Battery Energy Storage,no_quality_signal,no_quality_signal_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,288,reports/battery_av/battery/runtime_summary.csv,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_reliability_conditioned_widening,fixed_threshold_or_fixed_inflation_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,288,reports/battery_av/battery/runtime_summary.csv,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_repair_release_without_repair,nominal_deterministic_controller,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,288,reports/battery_av/battery/runtime_summary.csv,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_fallback_or_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,288,reports/battery_av/battery/runtime_summary.csv,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
Battery Energy Storage,no_certificate_refresh_stale_certificate_policy,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_native_ablation,0.000000,0.000000,0.000000,0.000000,0.000000,0.020833,runtime_denominator,288,reports/battery_av/battery/runtime_summary.csv,Runtime-native ablation row; no validation-harness proxy is used for claim-carrying equal-depth evidence.
