target,slice,picp_90,mean_interval_width,n
load_mw,high_reliability,0.8160203139427517,16035.3740234375,8664
wind_mw,calm,0.5926897516614201,13802.673828125,5718
wind_mw,gusty,0.6218601493550577,14089.5693359375,2946
solar_mw,daytime,0.8104517271922055,10745.1044921875,5645
solar_mw,nighttime,0.9552832063597217,7841.81787109375,3019
