scenario,seed,controller,fault_type,fault_count,true_soc_violation_rate_at_fault,violation_rate_at_fault,intervention_rate_at_fault
drift_combo,22,aci_conformal,label_drift,84,0.000000,0.000000,0.011905
drift_combo,22,cvar_interval,label_drift,84,0.642857,0.642857,0.000000
drift_combo,22,dc3s_ftit,label_drift,84,0.000000,0.000000,0.071429
drift_combo,22,dc3s_wrapped,label_drift,84,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,label_drift,84,0.035714,0.035714,0.000000
drift_combo,22,robust_fixed_interval,label_drift,84,0.642857,0.642857,0.000000
drift_combo,22,scenario_mpc,label_drift,84,0.000000,0.000000,0.000000
drift_combo,22,scenario_robust,label_drift,84,0.000000,0.000000,0.000000
drift_combo,22,aci_conformal,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,22,cvar_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,22,dc3s_ftit,out_of_order,16,0.000000,0.000000,0.062500
drift_combo,22,dc3s_wrapped,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,out_of_order,16,0.062500,0.062500,0.000000
drift_combo,22,robust_fixed_interval,out_of_order,16,0.250000,0.250000,0.000000
drift_combo,22,scenario_mpc,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,22,scenario_robust,out_of_order,16,0.000000,0.000000,0.000000
drift_combo,22,aci_conformal,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,cvar_interval,spikes,8,0.250000,0.250000,0.000000
drift_combo,22,dc3s_ftit,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_wrapped,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,spikes,8,0.250000,0.250000,0.000000
drift_combo,22,scenario_mpc,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,scenario_robust,spikes,8,0.000000,0.000000,0.000000
drift_combo,22,aci_conformal,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,cvar_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_ftit,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,dc3s_wrapped,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,deterministic_lp,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,robust_fixed_interval,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,scenario_mpc,stale_sensor,8,0.000000,0.000000,0.000000
drift_combo,22,scenario_robust,stale_sensor,8,0.000000,0.000000,0.000000
