domain,certificate_schema_version,certificate_hash,prev_hash,issuer,action,validity_horizon_H_t,expires_at_step,theorem_contracts,source_artifact,scope_note
battery,orius.certificate.v1,bca5564219e3b2e2affd238f6140a2ea95e735f5958d6dff064f16a9e36d9008,GENESIS,orius.runtime,"{""charge_mw"":0.0}",1,1,"{""T11"":""battery_runtime_witness""}",reports/battery_av/battery/runtime_summary.csv,Compact GitHub-safe schema witness; raw runtime traces remain local/regenerated artifacts.
av,orius.certificate.v1,869efefb7001d98a226251de8f7ed861b4bb49f9a04aabc2312455328b9a191b,GENESIS,orius.runtime,"{""acceleration_mps2"":0.0}",1,1,"{""T11"":""av_brake_hold_runtime_lemma""}",reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,Compact GitHub-safe schema witness; raw nuPlan traces remain local/regenerated artifacts.
healthcare,orius.certificate.v1,8f74dbbc70b4a9b05c4eade4713c596f2fdbf99afe8430271bf058cc7d61aef5,GENESIS,orius.runtime,"{""alert_level"":""max_alert""}",1,1,"{""T11"":""healthcare_fail_safe_release_runtime_lemma""}",reports/healthcare/runtime_summary.csv,Compact GitHub-safe schema witness; raw monitoring traces remain local/regenerated artifacts.
