component,mean_ms,median_ms,p95_ms,p99_ms,max_ms
Reliability scoring,0.0187,0.0180,0.0236,0.0267,0.0272
Drift update (Page-Hinkley),0.0004,0.0003,0.0004,0.0005,0.0068
Uncertainty set build,0.0090,0.0087,0.0109,0.0151,0.0162
Action repair (projection),0.0024,0.0022,0.0028,0.0054,0.0082
Full DC3S step,0.0330,0.0316,0.0392,0.0414,0.0702
