domain,target_surface,bucket_label,reliability_lower,reliability_upper,n,coverage,coverage_ci_low,coverage_ci_high,mean_interval_width,non_vacuous,source_surface,calibration_note
Battery Energy Storage,soc_mwh_interval,low,0.000000,0.714017,16,0.937500,0.818890,1.000000,4937.813244,True,reports/calibration/reliability_group_audit.csv,Locked battery reliability-group audit.
Battery Energy Storage,soc_mwh_interval,mid,0.714017,0.821067,16,1.000000,1.000000,1.000000,4277.754612,True,reports/calibration/reliability_group_audit.csv,Locked battery reliability-group audit.
Battery Energy Storage,soc_mwh_interval,high,0.821067,1.000000,64,0.906250,0.834837,0.977663,934.616134,True,reports/calibration/reliability_group_audit.csv,Locked battery reliability-group audit.
Autonomous Vehicles,ego_speed_1s_interval,low,0.050000,0.191239,510368,0.998456,0.998348,0.998564,1.221171,True,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,Computed from ORIUS AV runtime traces on the all-zip grouped nuPlan replay row.
Autonomous Vehicles,ego_speed_1s_interval,mid,0.191246,1.000000,510368,0.988291,0.987996,0.988586,0.813289,True,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,Computed from ORIUS AV runtime traces on the all-zip grouped nuPlan replay row.
Autonomous Vehicles,ego_speed_1s_interval,high,1.000000,1.000000,510368,0.979538,0.979150,0.979927,0.524701,True,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,Computed from ORIUS AV runtime traces on the all-zip grouped nuPlan replay row.
Medical and Healthcare Monitoring,spo2_like_monitoring_interval,low,0.050000,1.000000,12296,0.985198,0.983064,0.987333,2.220188,True,"data/healthcare/processed/splits/{calibration,val,test}.parquet","Reliability-bucketed split conformal calibration on audited patient-disjoint healthcare splits, using calibration-derived reliability bins, finite-sample split-conformal quantiles, and a pooled monotone widening floor for low-reliability regimes."
Medical and Healthcare Monitoring,spo2_like_monitoring_interval,mid,1.000000,1.000000,12296,0.943640,0.939564,0.947716,2.220188,True,"data/healthcare/processed/splits/{calibration,val,test}.parquet","Reliability-bucketed split conformal calibration on audited patient-disjoint healthcare splits, using calibration-derived reliability bins, finite-sample split-conformal quantiles, and a pooled monotone widening floor for low-reliability regimes."
Medical and Healthcare Monitoring,spo2_like_monitoring_interval,high,1.000000,1.000000,12295,0.946645,0.942672,0.950618,2.220188,True,"data/healthcare/processed/splits/{calibration,val,test}.parquet","Reliability-bucketed split conformal calibration on audited patient-disjoint healthcare splits, using calibration-derived reliability bins, finite-sample split-conformal quantiles, and a pooled monotone widening floor for low-reliability regimes."
