domain,active_dataset,claim_surface,forecast_source,forecast_target,forecast_split,forecast_coverage,forecast_interval_width,calibration_bucket_count,calibration_min_coverage,calibration_min_bucket_n,runtime_source,runtime_trace_rows,orius_runtime_rows,baseline_tsvr,orius_tsvr,oasg,intervention_rate,fallback_activation_rate,certificate_valid_rate,t11_pass_rate,domain_postcondition_pass_rate,runtime_witness_pass_rate,strict_runtime_gate,postcondition_basis,claim_boundary
Battery Energy Storage,German OPSD battery witness,locked battery witness runtime,reports/orius_framework_proof/training_audit/domain_training_summary.csv,load_mw,test,0.930159,1285.327685,3,0.906250,16,reports/battery_av/battery/runtime_summary.csv,1152,288,0.008333,0.000000,0.000000,0.020833,0.020833,1.000000,1.000000,1.000000,1.000000,True,battery_true_state_witness_postcondition,Locked battery witness runtime evidence; not an unrestricted field deployment claim.
Autonomous Vehicles,nuPlan all-zip grouped replay,bounded nuPlan runtime replay/surrogate,reports/orius_av/nuplan_allzip_grouped/training_summary.csv,ego_speed_mps_1s,test,0.934501,0.480514,3,0.979538,510368,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,12248832,1531104,0.289250,0.000163,0.000157,0.500301,0.173716,0.999924,1.000000,0.999837,0.999837,True,av_t11_brake_hold_runtime_witness,Bounded all-zip grouped nuPlan replay/surrogate evidence; no road deployment or full autonomous-driving field closure claimed.
Medical and Healthcare Monitoring,MIMIC retrospective monitoring,bounded retrospective healthcare monitoring,reports/orius_framework_proof/training_audit/domain_training_summary.csv,hr_bpm,test,0.902977,11.957049,3,0.943640,12295,reports/healthcare/runtime_summary.csv,411786,137262,0.194489,0.000000,0.000000,0.479907,0.479907,1.000000,1.000000,1.000000,1.000000,True,healthcare_t11_fail_safe_release_runtime_witness,Retrospective MIMIC monitoring evidence; no prospective clinical trial or live clinical deployment claimed.
