target,slice,picp_90,mean_interval_width,n
load_mw,high_reliability,0.796398891966759,17025.513671875,8664
wind_mw,calm,0.7299755159146555,16600.8046875,5718
wind_mw,gusty,0.693143245078072,16811.578125,2946
solar_mw,daytime,0.7698848538529672,9498.5224609375,5645
solar_mw,nighttime,0.9082477641603179,6653.6865234375,3019
