controller,true_soc_violation_rate_mean,true_soc_violation_rate_ci_low,true_soc_violation_rate_ci_high,true_soc_violation_severity_p95_mean,true_soc_violation_severity_p95_ci_low,true_soc_violation_severity_p95_ci_high,intervention_rate_mean,intervention_rate_ci_low,intervention_rate_ci_high,cost_delta_pct_mean
cvar_interval,0.314815,0.152116,0.500033,0.288555,0.191129,0.378426,0.000000,0.000000,0.000000,-0.004251
dc3s_wrapped,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.007078
deterministic_lp,0.108466,0.092593,0.125661,209.325156,185.013104,239.518261,0.000000,0.000000,0.000000,0.000000
robust_fixed_interval,0.314815,0.152116,0.500033,0.288555,0.191129,0.378426,0.000000,0.000000,0.000000,-0.004251
