region,release_id,run_id,accepted,reports_dir,cost_savings_pct,carbon_reduction_pct,peak_shaving_pct,carbon_source,targets_present,price_target_present,forecast_table_path,impact_summary_path
DE,R1_20260312T044018Z,R1_20260312T044018Z_diag,True,reports/runs/de/R1_20260312T044018Z_diag,12.108917,-2.947848,13.947778,average,"load_mw,price_eur_mwh,solar_mw,wind_mw",True,reports/runs/de/R1_20260312T044018Z_diag/publication/table4_region_compare.csv,reports/runs/de/R1_20260312T044018Z_diag/impact_summary.csv
US_ERCOT,R1_20260312T044018Z,R1_20260312T044018Z_diag,True,reports/runs/us_ercot/R1_20260312T044018Z_diag,0.190677,0.282154,0.000000,average,"load_mw,price_eur_mwh,solar_mw,wind_mw",True,reports/runs/us_ercot/R1_20260312T044018Z_diag/publication/table4_region_compare.csv,reports/runs/us_ercot/R1_20260312T044018Z_diag/impact_summary.csv
US_MISO,R1_20260312T044018Z,R1_20260312T044018Z_diag,True,reports/runs/us_miso/R1_20260312T044018Z_diag,0.105700,0.112451,0.000000,average,"load_mw,price_eur_mwh,solar_mw,wind_mw",True,reports/runs/us_miso/R1_20260312T044018Z_diag/publication/table4_region_compare.csv,reports/runs/us_miso/R1_20260312T044018Z_diag/impact_summary.csv
US_PJM,R1_20260312T044018Z,R1_20260312T044018Z_diag,True,reports/runs/us_pjm/R1_20260312T044018Z_diag,14.263183,-0.572210,0.000000,average,"load_mw,price_eur_mwh,solar_mw,wind_mw",True,reports/runs/us_pjm/R1_20260312T044018Z_diag/publication/table4_region_compare.csv,reports/runs/us_pjm/R1_20260312T044018Z_diag/impact_summary.csv
