rank,controller,mean_violation_rate,mean_intervention_rate,mean_cost_usd,mean_picp_90
1,scenario_mpc,0.0,0.0,114346551.17276862,0.9347222
2,scenario_robust,0.0,0.0,114346551.17276862,0.9749999333333332
3,aci_conformal,0.0,0.020833,114365740.40855934,0.9652776666666668
4,dc3s_wrapped,0.0,0.0,114401679.4337036,0.8805555333333334
5,dc3s_ftit,0.0,0.0881944333333333,114510699.19318151,0.9305554666666668
6,deterministic_lp,0.1298609666666666,0.0,114338186.2028428,0.8798610666666666
7,cvar_interval,0.1916665666666666,0.0,114327876.36295754,0.8798610666666666
8,robust_fixed_interval,0.1916665666666666,0.0,114327876.36295754,0.8798610666666666
