scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields,region
drift_combo,33,robust_fixed_interval,robust_fixed_interval,205368761.653059,1438522815.950926,-0.004881,1.000000,0.000000,12260.297407,0.761905,1.000000,12260.297407,14078.872067,0.000000,,,0.714286,959.527844,0.321429,976.388435,0.250000,979.707126,3645.590691,6535.069220,0.750000,0.797619,12260.297407,0.011905,0.047823,0.000000,0.000000,0.011905,1.000000,0.047823,0.047823,0.047823,0.047823,-0.047823,10000.000000,1.000000,0.011905,0.000000,0.000000,0.000000,336.000000,DE
dropout,11,cvar_interval,cvar_interval,192712774.195552,1347321678.405873,-0.004698,1.000000,0.000000,951.890877,0.952381,1.000000,951.890877,948.870247,0.000000,99973369.727151,99997021.262900,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,951.890877,0.059524,1.114570,0.000000,0.000000,0.059524,5.000000,0.222914,0.368111,0.222914,0.368111,-0.416510,10000.000000,3.000000,0.059524,0.000000,0.000000,0.000000,336.000000,DE
dropout,11,dc3s_wrapped,dc3s_wrapped,192712802.739079,1347321912.564181,-0.004683,0.999693,0.000000,965.679448,0.964286,0.964286,965.679448,948.870247,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,965.679448,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211451,10000.000000,0.000000,0.035714,0.035714,0.000000,1.000000,0.000000,DE
dropout,11,deterministic_lp,deterministic_lp,192721827.528813,1347343139.035425,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,951.890877,0.107143,318.360388,0.000000,0.000000,0.107143,9.000000,35.373376,185.680061,35.373376,185.680061,-297.506328,10000.000000,2.777778,0.107143,0.000000,0.000000,0.000000,336.000000,DE
dropout,11,robust_fixed_interval,robust_fixed_interval,192712774.195552,1347321678.405873,-0.004698,1.000000,0.000000,12000.821611,0.952381,1.000000,12000.821611,13708.540570,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,1.000000,1.000000,12000.821611,0.059524,1.114570,0.000000,0.000000,0.059524,5.000000,0.222914,0.368111,0.222914,0.368111,-0.416510,10000.000000,3.000000,0.059524,0.000000,0.000000,0.000000,336.000000,DE
dropout,22,cvar_interval,cvar_interval,192272056.267063,1350564232.289626,-0.003283,1.000000,0.000000,951.890877,0.440476,1.000000,951.890877,948.870247,0.000000,136803348.047425,136841533.471290,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,951.890877,0.750000,7.358102,0.000000,0.000000,0.750000,63.000000,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000,DE
dropout,22,dc3s_wrapped,dc3s_wrapped,192328744.735377,1350598291.873573,0.026199,0.999353,0.000000,965.937543,1.000000,0.952381,965.937543,948.870247,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,965.937543,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095503,10000.000000,0.000000,0.047619,0.047619,0.000000,1.000000,0.000000,DE
dropout,22,deterministic_lp,deterministic_lp,192278369.698866,1350591499.345840,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,951.890877,0.130952,332.590670,0.500000,0.000000,0.130952,11.000000,30.235515,165.054179,30.235515,165.054179,-311.177775,10191.869412,3.181818,0.130952,0.000000,0.000000,0.000000,336.000000,DE
dropout,22,robust_fixed_interval,robust_fixed_interval,192272056.267063,1350564232.289626,-0.003283,1.000000,0.000000,12002.526997,0.440476,1.000000,12002.526997,13842.076902,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,1.000000,1.000000,12002.526997,0.750000,7.358102,0.000000,0.000000,0.750000,63.000000,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000,DE
dropout,33,cvar_interval,cvar_interval,193126112.950613,1352808477.506498,-0.004600,1.000000,0.000000,951.890877,0.821429,1.000000,951.890877,948.870247,0.000000,112360555.146416,112387858.591368,0.964286,948.870247,0.964286,948.870247,0.857143,948.870247,123.764527,490.785363,0.928571,0.928571,951.890877,0.202381,7.030359,0.000000,0.000000,0.202381,17.000000,0.413551,0.417771,0.413551,0.417771,-0.417771,10000.000000,9.000000,0.202381,0.000000,0.000000,0.000000,336.000000,DE
