domain,p95_step_latency_ms,mean_reliability,repair_rate_pct,certificate_rate_pct,runtime_error_rate_pct,fallback_mode,certos_status,runtime_budget_depth,exact_limit
Battery Energy Storage,0.1193,witness_reference,n/a_reference,100.0,0.0,safe_hold,evaluated,reference_runtime,external bench and field telemetry packaging still remain bounded deployment items
Autonomous Vehicles,0.255,0.682,100.0,100.0,0.0,full_brake,evaluated,proof_validated,multi_lane_and_higher_dimensional_repair_open
Industrial Process Control,0.579,0.575,83.3,100.0,0.0,power_cap,evaluated,proof_validated,bounded_to_current_plant_family
Medical and Healthcare Monitoring,0.763,0.731,20.8,100.0,0.0,max_alert,evaluated,proof_validated,bounded_to_current_monitoring_and_intervention_contract
Navigation and Guidance,0.864,0.799,100.0,100.0,0.0,hold_position,gated,shadow_synthetic,navigation_real_data_row_missing
Aerospace Control,0.454,0.707,25.0,100.0,0.0,envelope_hold,gated,experimental,real_multi_flight_safety_task_missing
