domain,target,model,rmse,picp90,status
Battery,load_mw,gbm,254.46962225713838,0.9301587301587302,pass
Battery,price_eur_mwh,gbm,4.895978381098845,0.9146825396825397,pass
Battery,solar_mw,gbm,243.1773441308174,0.9174603174603174,pass
Battery,wind_mw,gbm,107.44463539677203,0.9646825396825397,pass
AV,target_ego_speed_mps__1s,gbm,0.029346288985519154,0.920269866647926,pass
AV,target_relative_gap_m__1s,gbm,14.323197674279486,0.95753465572676,pass
Healthcare,hr_bpm,gbm,1.520603252884324,0.90297659622813,pass
Healthcare,respiratory_rate,gbm,0.6533582308842321,0.8943876391729152,pass
Healthcare,spo2_pct,gbm,0.2799973707557318,0.9117018859350148,pass
