domain,runtime_surface,source_surface,safety_reference_controller,baseline_controller,orius_tsvr,safety_reference_tsvr,baseline_tsvr,excess_tsvr_over_safety_reference,baseline_tsvr_reduction,orius_fallback_activation_rate,safety_reference_fallback_activation_rate,fallback_reduction_vs_safety_reference,orius_intervention_rate,safety_reference_intervention_rate,intervention_reduction_vs_safety_reference,orius_useful_work_total,safety_reference_useful_work_total,baseline_useful_work_total,utility_gain_over_safety_reference,utility_delta_over_safety_reference,orius_progress_total,orius_near_miss_rate,orius_collision_proxy_rate,orius_mean_abs_jerk,nonvacuous_utility_gate,claim_boundary
Autonomous Vehicles,bounded_closed_loop_planner,reports/predeployment_external_validation/av_closed_loop_planner/av_utility_safety_frontier.csv,always_brake,baseline,0.241200,0.241286,0.310371,0.000000,0.069171,0.280114,1.000000,0.719886,0.574429,1.000000,0.425571,7835.481399,1965.845257,32115.717183,3.985808,5869.636141,8488.356561,0.024629,0.007314,3.449583,True,"Closed-loop AV utility is judged against the always-brake fail-safe reference. Raw closed-loop TSVR includes unavoidable initial unsafe states, so the promoted non-vacuity statistic is excess TSVR over that fail-safe plus useful-work gain."
Medical and Healthcare Monitoring,retrospective_fail_safe_release,reports/healthcare/runtime_summary.csv,always_alert,baseline,0.000000,0.000000,0.194489,0.000000,0.194489,0.479907,1.000000,0.520093,0.479907,1.000000,0.520093,142767.000000,0.000000,221108.000000,inf,142767.000000,,,,,True,"Healthcare utility is judged against the always-alert fail-safe reference. The promoted non-vacuity statistic requires zero excess TSVR with less fallback, less intervention, and positive monitoring utility."
