transfer_case,sweep_type,sweep_value,scenario,seed,controller,picp_90,mean_width,true_soc_violation_rate,true_soc_violation_severity_p95_mwh,cost_delta_pct
DE_to_US_no_retrain,dropout,0.0,dropout,33,dc3s_ftit,1.000000,305.906932,0.000000,0.000000,-0.016497
DE_to_US_no_retrain,dropout,0.0,dropout,33,aci_conformal,1.000000,99.905000,0.000000,0.000000,0.019866
DE_to_US_no_retrain,dropout,0.0,dropout,33,scenario_robust,1.000000,0.000000,0.000000,0.000000,-0.016498
DE_to_US_no_retrain,dropout,0.0,dropout,33,scenario_mpc,1.000000,9429.776812,0.000000,0.000000,-0.016498
DE_to_US_no_retrain,dropout,0.1,dropout,11,deterministic_lp,0.947917,502.889113,0.062500,311.779158,0.000000
DE_to_US_no_retrain,dropout,0.1,dropout,11,robust_fixed_interval,0.947917,502.889113,0.000000,0.000000,-0.001804
DE_to_US_no_retrain,dropout,0.1,dropout,11,cvar_interval,0.947917,502.889113,0.000000,0.000000,-0.001804
DE_to_US_no_retrain,dropout,0.1,dropout,11,dc3s_wrapped,0.947917,525.188503,0.000000,0.000000,-0.001804
DE_to_US_no_retrain,dropout,0.1,dropout,11,dc3s_ftit,0.937500,908.649316,0.000000,0.000000,0.026209
DE_to_US_no_retrain,dropout,0.1,dropout,11,aci_conformal,0.906250,100.025208,0.000000,0.000000,0.023775
DE_to_US_no_retrain,dropout,0.1,dropout,11,scenario_robust,0.968750,1961.593915,0.000000,0.000000,-0.001807
DE_to_US_no_retrain,dropout,0.1,dropout,11,scenario_mpc,1.000000,9437.736109,0.000000,0.000000,-0.001807
DE_to_US_no_retrain,dropout,0.1,dropout,22,deterministic_lp,0.916667,502.889113,0.041667,285.782596,0.000000
DE_to_US_no_retrain,dropout,0.1,dropout,22,robust_fixed_interval,0.916667,502.889113,0.000000,0.000000,-0.013108
DE_to_US_no_retrain,dropout,0.1,dropout,22,cvar_interval,0.916667,502.889113,0.000000,0.000000,-0.013108
DE_to_US_no_retrain,dropout,0.1,dropout,22,dc3s_wrapped,0.916667,524.170459,0.000000,0.000000,-0.013108
DE_to_US_no_retrain,dropout,0.1,dropout,22,dc3s_ftit,0.927083,1446.599983,0.000000,0.000000,0.032950
DE_to_US_no_retrain,dropout,0.1,dropout,22,aci_conformal,0.906250,100.001458,0.000000,0.000000,0.025943
DE_to_US_no_retrain,dropout,0.1,dropout,22,scenario_robust,0.927083,2152.780043,0.000000,0.000000,-0.013109
DE_to_US_no_retrain,dropout,0.1,dropout,22,scenario_mpc,1.000000,9426.392191,0.000000,0.000000,-0.013109
DE_to_US_no_retrain,dropout,0.1,dropout,33,deterministic_lp,0.916667,502.889113,0.062500,220.656430,0.000000
DE_to_US_no_retrain,dropout,0.1,dropout,33,robust_fixed_interval,0.916667,502.889113,0.260417,0.436880,-0.016512
DE_to_US_no_retrain,dropout,0.1,dropout,33,cvar_interval,0.916667,502.889113,0.260417,0.436880,-0.016512
DE_to_US_no_retrain,dropout,0.1,dropout,33,dc3s_wrapped,0.916667,524.766957,0.000000,0.000000,-0.016500
DE_to_US_no_retrain,dropout,0.1,dropout,33,dc3s_ftit,0.947917,1273.226615,0.000000,0.000000,-0.014021
DE_to_US_no_retrain,dropout,0.1,dropout,33,aci_conformal,0.906250,99.976875,0.000000,0.000000,0.019861
DE_to_US_no_retrain,dropout,0.1,dropout,33,scenario_robust,0.958333,2183.616274,0.000000,0.000000,-0.016503
