scenario,policy,n_seeds,picp_90,picp_95,mean_interval_width,intervention_rate,violation_rate,true_soc_violation_rate,expected_cost_usd,mae,rmse
drift_combo,dc3s_no_wt,5,0.895833,0.958333,14565.345929,0.014583,0.000000,0.000000,233275835.998994,3260.219745,5718.687080
drift_combo,dc3s_no_drift,5,0.920833,0.970833,17140.052738,0.014583,0.000000,0.000000,233275835.998994,3260.219745,5718.687080
drift_combo,dc3s_linear,5,0.920833,0.970833,17140.052738,0.014583,0.000000,0.000000,233275835.998994,3260.219745,5718.687080
drift_combo,dc3s_kappa,5,0.977083,0.981250,25205.171941,0.014583,0.000000,0.000000,233275835.998994,3260.219745,5718.687080
