scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,rac_sensitivity_mean,rac_sensitivity_p95,rac_q_multiplier_mean,rac_q_multiplier_p95,rac_inflation_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,pinball_loss_q05,pinball_loss_q50,pinball_loss_q95,pinball_loss_mean,winkler_score_90,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
delay_jitter,22,dc3s_ftit,dc3s_ftit,389341887.662966,2708115406.155786,0.005226,0.697235,4.320695,375.210088,1.000000,1.000000,375.210088,376.707304,0.000000,0.023534,0.047087,1.000000,1.000000,1.001627,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,375.210088,9.380252,0.000000,9.380252,6.253501,375.210088,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,343.200451,5000.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
delay_jitter,22,dc3s_wrapped,dc3s_wrapped,389321366.073714,2707980261.886197,-0.000045,0.999240,0.000000,516.656866,1.000000,0.994048,516.656866,530.777842,0.000000,0.023534,0.047087,1.024067,1.047416,1.002734,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,516.656866,12.916422,0.000000,12.916422,8.610948,516.656866,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.093176,5000.000000,0.000000,0.005952,0.005952,0.000000,1.000000,0.000000
delay_jitter,22,deterministic_lp,deterministic_lp,389321540.462034,2707976706.695675,0.000000,1.000000,0.000000,503.130805,1.000000,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.005952,0.199664,0.000000,0.000000,0.005952,1.000000,0.199664,0.199664,0.199664,0.199664,-0.199664,5000.000000,1.000000,0.005952,0.000000,0.000000,0.000000,672.000000
delay_jitter,22,robust_fixed_interval,robust_fixed_interval,389321351.990848,2707980147.388025,-0.000048,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.011905,0.399329,0.000000,0.000000,0.011905,2.000000,0.199664,0.199664,0.199664,0.199664,-0.199664,5000.000000,1.500000,0.011905,0.000000,0.000000,0.000000,672.000000
delay_jitter,22,scenario_mpc,scenario_mpc,389321359.372699,2707980225.499924,-0.000047,1.000000,0.000000,8004.918736,1.000000,1.000000,8004.918736,9231.924205,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,8004.918736,200.122968,0.000000,200.122968,133.415312,8004.918736,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,22,scenario_robust,scenario_robust,389321359.372699,2707980225.499924,-0.000047,1.000000,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,aci_conformal,aci_conformal,388687692.247004,2698554149.540585,-0.000011,1.000000,0.000000,99.833000,1.000000,1.000000,99.833000,99.983300,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,99.833000,2.495825,0.000000,2.495825,1.663883,99.833000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5000.000000,0.000000,0.000000,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,cvar_interval,cvar_interval,388687681.534265,2698554035.434761,-0.000014,1.000000,0.000000,503.130805,0.994048,1.000000,503.130805,503.453060,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,198114182.501285,198133162.926275,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,503.130805,12.578270,0.000000,12.578270,8.385513,503.130805,0.011905,0.604954,0.000000,0.000000,0.011905,2.000000,0.302477,0.302477,0.302477,0.302477,-0.302477,5000.000000,1.500000,0.011905,0.000000,0.000000,0.000000,672.000000
delay_jitter,33,dc3s_ftit,dc3s_ftit,388705947.085256,2698673223.851414,0.004685,0.710540,4.104238,375.184882,1.000000,1.000000,375.184882,376.663765,0.000000,0.023738,0.049530,1.000000,1.000000,1.001559,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,375.184882,9.379622,0.000000,9.379622,6.253081,375.184882,0.000000,0.000000,0.000000,0.023810,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,304.599541,5000.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000
delay_jitter,33,dc3s_wrapped,dc3s_wrapped,388687697.975160,2698554166.089261,-0.000010,0.999014,0.000000,516.911431,1.000000,0.994048,516.911431,531.387328,0.000000,0.023738,0.049530,1.024428,1.050212,1.002867,,,1.000000,503.453060,1.000000,503.453060,1.000000,503.453060,0.000000,0.000000,1.000000,1.000000,516.911431,12.922786,0.000000,12.922786,8.615191,516.911431,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.030893,5000.000000,0.000000,0.005952,0.005952,0.000000,1.000000,0.000000
