run_id,timestamp_utc,row_type,window_idx,window_start,window_end,horizon,evpi,evpi_robust,evpi_deterministic,vss,robust_actual_realized_cost,robust_perfect_info_cost,deterministic_actual_realized_cost,deterministic_perfect_info_cost,robust_total_cost,robust_feasible,solver_status,mean_dynamic_interval_width,mean_base_interval_width,unmet_load_penalty_per_mwh
20260216_092413,2026-02-16T09:24:29.483002,window,21.0,528.0,552.0,24.0,0.0,0.0,0.0,-29700.0,76864935.0,76864935.0,76835235.0,76835235.0,64227302.10661091,True,ok:optimal,1471.9264046772394,415.6027495559283,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,22.0,552.0,576.0,24.0,0.0,0.0,0.0,-29700.0,79300755.0,79300755.0,79271055.0,79271055.0,77231479.71810652,True,ok:optimal,571.4537806393906,415.602749555928,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,23.0,576.0,600.0,24.0,0.0,0.0,0.0,-29700.0,79647845.0,79647845.0,79618145.0,79618145.0,79670928.27452604,True,ok:optimal,611.2823774718527,415.6027495559277,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,24.0,600.0,624.0,24.0,0.0,0.0,0.0,-29700.0,74280210.0,74280210.0,74250510.0,74250510.0,78324043.13208574,True,ok:optimal,1506.5599671402306,415.6027495559277,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,25.0,624.0,648.0,24.0,0.0,0.0,0.0,-27000.0,54763330.0,54763330.0,54736330.0,54736330.0,70096773.9431257,True,ok:optimal,2665.052631527378,415.6027495559277,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,26.0,648.0,672.0,24.0,0.0,0.0,0.0,-27000.0,55935530.0,55935530.0,55908530.0,55908530.0,57739087.116555154,True,ok:optimal,2441.6661536410784,415.6027495559304,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,27.0,672.0,696.0,24.0,0.0,0.0,0.0,-29700.0,73668450.0,73668450.0,73638750.0,73638750.0,61964737.111159235,True,ok:optimal,2665.052631527422,415.60274955593496,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,28.0,696.0,720.0,24.0,0.0,0.0,0.0,-29700.0,70729045.0,70729045.0,70699345.0,70699345.0,74308363.67448863,True,ok:optimal,1316.0753735937676,415.6027495559283,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,29.0,720.0,744.0,24.0,0.0,0.0,0.0,-29700.0,58461590.0,58461590.0,58431890.0,58431890.0,72001615.94123912,True,ok:optimal,2112.647310242622,415.6027495559283,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,30.0,744.0,768.0,24.0,0.0,0.0,0.0,-29700.0,60180390.0,60180390.0,60150690.0,60150690.0,60117547.643284336,True,ok:optimal,2434.73944114847,415.602749555928,10000.0
20260216_092413,2026-02-16T09:24:29.483002,window,31.0,768.0,792.0,24.0,0.0,0.0,0.0,-29700.0,69434105.0,69434105.0,69404405.0,69404405.0,59840043.2088902,True,ok:optimal,2043.3801853166344,415.6027495559271,10000.0
