scenario,mean_cost,std_cost,median_cost,ci_lower,ci_upper,mean_regret_pct,mean_infeasible_rate
Full System,428213612.0,0.0,428213612.0,428213612.0,428213612.0,7396.736904761905,1.0
No Uncertainty,428213612.0,0.0,428213612.0,428213612.0,428213612.0,7396.736904761905,1.0
No Carbon,377835540.0,0.0,377835540.0,377835540.0,377835540.0,7396.736904761905,1.0
Forecast Only,,,,,,,
