source_type,source_key,table,column,rows,na_count,na_ratio,allowed_max_ratio,allowed,status
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,reason,288,288,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,timeout_at,288,288,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,timeout_reason,288,288,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_reason,1,1,1.0,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_since_utc,1,1,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,carbon_emissions,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,oracle_cost,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,regret,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,regret_pct,4,4,1.0,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,mean_regret_pct,4,4,1.0,1.0,True,ok
csv,reports/research_metrics_us.csv,,load_stress_additive_mw,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,mean_stressed_interval_width,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,operational_grid_cap_mw,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,reserve_soc_mwh,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,stress_interval_multiplier,621,595,0.9581320450885669,1.0,True,ok
csv,reports/research_metrics_us.csv,,terminal_soc_target_mwh,621,595,0.9581320450885669,1.0,True,ok
csv,reports/metrics/forecast_point_metrics.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/metrics/forecast_window_metrics.csv,,daylight_mape,90,60,0.6666666666666666,1.0,True,ok
csv,reports/publication/tables/table2_forecast_metrics_de.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/publication/tables/table3_forecast_metrics_us.csv,,daylight_mape,12,8,0.6666666666666666,1.0,True,ok
csv,reports/research_metrics_de.csv,,faci_scale_bound_lower,864,324,0.375,1.0,True,ok
csv,reports/research_metrics_de.csv,,faci_scale_bound_upper,864,324,0.375,1.0,True,ok
csv,reports/publication/tables/table5_optimization_impact.csv,,Delta,3,1,0.3333333333333333,1.0,True,ok
csv,reports/research_metrics_us.csv,,faci_scale_bound_lower,621,170,0.27375201288244766,1.0,True,ok
csv,reports/research_metrics_us.csv,,faci_scale_bound_upper,621,170,0.27375201288244766,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,carbon_emissions,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,infeasible_rate,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,oracle_cost,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,regret,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,regret_pct,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_results.csv,,total_cost,20,5,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,ci_lower,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,ci_upper,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_infeasible_rate,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,mean_regret_pct,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,median_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations/ablation_summary.csv,,std_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,infeasible_rate,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_results.csv,,total_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,ci_lower,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,ci_upper,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,mean_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,mean_infeasible_rate,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,median_cost,4,1,0.25,1.0,True,ok
csv,reports/ablations_smoke/ablation_summary.csv,,std_cost,4,1,0.25,1.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,expires_at,288,24,0.08333333333333333,1.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,prev_hash,408,8,0.0196078431372549,1.0,True,ok
csv,reports/research_metrics_us.csv,,window_end,621,9,0.014492753623188406,1.0,True,ok
csv,reports/research_metrics_us.csv,,window_idx,621,9,0.014492753623188406,1.0,True,ok
csv,reports/research_metrics_us.csv,,window_start,621,9,0.014492753623188406,1.0,True,ok
csv,reports/research_metrics_de.csv,,window_end,864,8,0.009259259259259259,1.0,True,ok
csv,reports/research_metrics_de.csv,,window_idx,864,8,0.009259259259259259,1.0,True,ok
csv,reports/research_metrics_de.csv,,window_start,864,8,0.009259259259259259,1.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,intervention_reason,408,3,0.007352941176470588,1.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,adaptive_state_json,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,device_id,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,drift_state_json,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_action_json,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_event_json,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_inflation,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_prev_hash,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_timestamp,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_y_true,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,last_yhat,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,state_key,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,target,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,updated_at,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dc3s_online_state,dc3s_online_state,zone_id,8,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,certificate_hash,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,command_id,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,created_at,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,drift_flag,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,guarantee_fail_reasons,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,inflation,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,intervened,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,payload_json,408,0,0.0,0.0,True,ok
duckdb,data/audit/dc3s_audit.duckdb::dispatch_certificates,dispatch_certificates,reliability_w,408,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,ack_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,certificate_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,command_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,created_at,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,device_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,payload_json,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_ack,iot_ack,status,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,acked_at,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,certificate_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,command_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,command_json,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,device_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,dispatched_at,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,queued_at,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,status,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_command_queue,iot_command_queue,zone_id,288,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,device_id,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,hold_active,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_ack_json,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_command_id,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,last_command_json,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_reliability_flags_json,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_reliability_w,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_telemetry_json,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,latest_ts_utc,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_device_state,iot_device_state,updated_at,1,0,0.0,0.0,True,ok
duckdb,data/audit/iot_loop.duckdb::iot_telemetry,iot_telemetry,created_at,288,0,0.0,0.0,True,ok
