target,group_col,group_value,stage,n,coverage,mean_width
relative_gap_m,shard_id,validation_tfexample.tfrecord-00006-of-00150,baseline,1025,0.9229268292682927,87.63663582151538
relative_gap_m,shard_id,validation_tfexample.tfrecord-00006-of-00150,adaptive,1025,0.9804878048780488,120.65751764292743
relative_gap_m,fault_family,delay_jitter,baseline,1435,0.8982578397212544,89.16342785509804
relative_gap_m,fault_family,delay_jitter,adaptive,1435,0.9916376306620209,125.69551107031155
relative_gap_m,fault_family,drift_combo,baseline,1640,0.899390243902439,88.16144452216722
relative_gap_m,fault_family,drift_combo,adaptive,1640,0.9804878048780488,118.65761283254625
relative_gap_m,fault_family,dropout,baseline,1517,0.8806855636123929,89.73019755206455
relative_gap_m,fault_family,dropout,adaptive,1517,0.972313777191826,116.2371689831907
relative_gap_m,fault_family,out_of_order,baseline,1763,0.9273964832671583,86.60684394959738
relative_gap_m,fault_family,out_of_order,adaptive,1763,0.9903573454339194,119.48623137517052
relative_gap_m,fault_family,spikes,baseline,1476,0.9166666666666666,89.86111743847965
relative_gap_m,fault_family,spikes,adaptive,1476,1.0,156.94122916377808
relative_gap_m,fault_family,stale,baseline,1517,0.957811470006592,87.19102785870797
relative_gap_m,fault_family,stale,adaptive,1517,0.990771259063942,116.41239993455956
relative_gap_m,speed_bin,0_5,baseline,6982,0.9051847608135205,88.47296358666449
relative_gap_m,speed_bin,0_5,adaptive,6982,0.9849613291320538,125.19326360392922
relative_gap_m,speed_bin,10_15,baseline,721,0.9500693481276006,87.2634513112204
relative_gap_m,speed_bin,10_15,adaptive,721,0.9972260748959778,119.44981333123475
relative_gap_m,speed_bin,15_20,baseline,170,0.9470588235294117,84.22660038533093
relative_gap_m,speed_bin,15_20,adaptive,170,0.9882352941176471,115.08964151919834
relative_gap_m,speed_bin,20_plus,baseline,7,1.0,81.73987456329031
relative_gap_m,speed_bin,20_plus,adaptive,7,1.0,108.54980008545566
relative_gap_m,speed_bin,5_10,baseline,1468,0.9318801089918256,89.04685341550903
relative_gap_m,speed_bin,5_10,adaptive,1468,0.9945504087193461,129.19117853293332
relative_gap_m,neighbor_count_bin,0_1,baseline,410,1.0,76.29486473341818
relative_gap_m,neighbor_count_bin,0_1,adaptive,410,1.0,123.51717020922815
relative_gap_m,neighbor_count_bin,2_3,baseline,1517,0.9571522742254449,82.92660761454532
relative_gap_m,neighbor_count_bin,2_3,adaptive,1517,0.996704021094265,127.4603690934341
relative_gap_m,neighbor_count_bin,4_5,baseline,1230,0.8853658536585366,85.384767383866
relative_gap_m,neighbor_count_bin,4_5,adaptive,1230,0.9934959349593496,120.1628270317381
relative_gap_m,neighbor_count_bin,6_plus,baseline,6191,0.9029235987724116,91.12305604664448
relative_gap_m,neighbor_count_bin,6_plus,adaptive,6191,0.9832014214181877,125.73101642547266
relative_gap_m,reliability_bin,high,baseline,4028,0.9001986097318768,91.58600525517781
relative_gap_m,reliability_bin,high,adaptive,4028,0.9751737835153923,113.20782821209706
relative_gap_m,reliability_bin,low,baseline,3648,0.9402412280701754,85.14081325629887
relative_gap_m,reliability_bin,low,adaptive,3648,0.9983552631578947,139.242757919147
relative_gap_m,reliability_bin,mid,baseline,1672,0.8881578947368421,87.7658769330523
relative_gap_m,reliability_bin,mid,adaptive,1672,0.993421052631579,123.35030305758792
