target,horizon_label,split,base_coverage,base_mean_width,widened_coverage,widened_mean_width,mean_widening_factor
ego_speed_mps,1s,val,0.9112149532710281,3.179229287516195,0.9626168224299065,3.9736588016523284,1.2358172755746113
ego_speed_mps,1s,test,0.9298245614035088,2.9129913390190696,0.9736842105263158,3.6165537828608634,1.2194618812136633
ego_speed_mps,2s,val,0.9485981308411215,4.84441230768761,0.9719626168224299,6.049556239149372,1.2358172755746113
ego_speed_mps,2s,test,0.9166666666666666,4.699468002107594,0.9649122807017544,5.770910323157883,1.2194618812136633
ego_speed_mps,4s,val,0.9065420560747663,8.75131510110517,0.9626168224299065,10.904300640828428,1.2358172755746113
ego_speed_mps,4s,test,0.9122807017543859,8.468975912764305,0.9517543859649122,10.396796680457971,1.2194618812136633
relative_gap_m,1s,val,0.8878504672897196,93.00645633747651,0.9345794392523364,113.8580122590821,1.2358172755746113
relative_gap_m,1s,test,0.9298245614035088,93.63543601798384,0.9605263157894737,113.39048721399114,1.2194618812136633
relative_gap_m,2s,val,0.9018691588785047,98.1713499149269,0.9579439252336449,118.2843325024816,1.2358172755746113
relative_gap_m,2s,test,0.9429824561403509,99.65573034386139,0.9649122807017544,119.15106912762502,1.2194618812136633
relative_gap_m,4s,val,0.8644859813084113,99.11528869332705,0.9345794392523364,121.39936481807894,1.2358172755746113
relative_gap_m,4s,test,0.881578947368421,99.99425729666065,0.956140350877193,120.93367604303465,1.2194618812136633
