controller,fault_family,target,coverage,mean_width
always_brake,delay_jitter,ego_speed_mps,0.9554006968641114,2.776353439829949
always_brake,delay_jitter,relative_gap_m,0.886411149825784,90.30554409395259
always_brake,drift_combo,ego_speed_mps,0.9542682926829268,2.865476468460799
always_brake,drift_combo,relative_gap_m,0.900609756097561,88.91559249606603
always_brake,dropout,ego_speed_mps,0.9499011206328279,2.5773630841852553
always_brake,dropout,relative_gap_m,0.8602504943968359,88.46042380346084
always_brake,out_of_order,ego_speed_mps,0.9421440726035167,2.4661271284018516
always_brake,out_of_order,relative_gap_m,0.8933635847986386,85.93378061840174
always_brake,spikes,ego_speed_mps,0.8929539295392954,2.66057097654619
always_brake,spikes,relative_gap_m,0.9234417344173442,90.78295022430498
always_brake,stale,ego_speed_mps,0.8971654581410679,2.780707036411277
always_brake,stale,relative_gap_m,0.8879367172050099,86.36127200109271
baseline,delay_jitter,ego_speed_mps,0.9554006968641114,2.776353439829949
baseline,delay_jitter,relative_gap_m,0.886411149825784,90.30554409395259
baseline,drift_combo,ego_speed_mps,0.9542682926829268,2.865476468460799
baseline,drift_combo,relative_gap_m,0.900609756097561,88.91559249606603
baseline,dropout,ego_speed_mps,0.9499011206328279,2.5773630841852553
baseline,dropout,relative_gap_m,0.8602504943968359,88.46042380346084
baseline,out_of_order,ego_speed_mps,0.9421440726035167,2.4661271284018516
baseline,out_of_order,relative_gap_m,0.8933635847986386,85.93378061840174
baseline,spikes,ego_speed_mps,0.8929539295392954,2.66057097654619
baseline,spikes,relative_gap_m,0.9234417344173442,90.78295022430498
baseline,stale,ego_speed_mps,0.8971654581410679,2.780707036411277
baseline,stale,relative_gap_m,0.8879367172050099,86.36127200109271
nonreliability_conformal_runtime,delay_jitter,ego_speed_mps,0.9554006968641114,2.776353439829949
nonreliability_conformal_runtime,delay_jitter,relative_gap_m,0.886411149825784,90.30554409395259
nonreliability_conformal_runtime,drift_combo,ego_speed_mps,0.9542682926829268,2.865476468460799
nonreliability_conformal_runtime,drift_combo,relative_gap_m,0.900609756097561,88.91559249606603
nonreliability_conformal_runtime,dropout,ego_speed_mps,0.9499011206328279,2.5773630841852553
nonreliability_conformal_runtime,dropout,relative_gap_m,0.8602504943968359,88.46042380346084
nonreliability_conformal_runtime,out_of_order,ego_speed_mps,0.9421440726035167,2.4661271284018516
nonreliability_conformal_runtime,out_of_order,relative_gap_m,0.8933635847986386,85.93378061840174
nonreliability_conformal_runtime,spikes,ego_speed_mps,0.8929539295392954,2.66057097654619
nonreliability_conformal_runtime,spikes,relative_gap_m,0.9234417344173442,90.78295022430498
nonreliability_conformal_runtime,stale,ego_speed_mps,0.8971654581410679,2.780707036411277
nonreliability_conformal_runtime,stale,relative_gap_m,0.8879367172050099,86.36127200109271
orius,delay_jitter,ego_speed_mps,0.9888501742160278,5.466231756110683
orius,delay_jitter,relative_gap_m,0.98397212543554,203.00814411633235
orius,drift_combo,ego_speed_mps,1.0,5.0346410347183115
orius,drift_combo,relative_gap_m,0.9804878048780488,183.41197761218467
orius,dropout,ego_speed_mps,1.0,6.390450940216253
orius,dropout,relative_gap_m,1.0,265.3812714103825
orius,out_of_order,ego_speed_mps,1.0,4.575466780592129
orius,out_of_order,relative_gap_m,0.9784458309699376,189.6922207631683
orius,spikes,ego_speed_mps,0.9979674796747967,6.439002802343912
orius,spikes,relative_gap_m,0.9993224932249323,266.8224475410728
orius,stale,ego_speed_mps,0.992089650626236,5.378986803172306
orius,stale,relative_gap_m,0.979564930784443,177.66529119528226
predictor_only_no_runtime,delay_jitter,ego_speed_mps,0.9554006968641114,2.776353439829949
predictor_only_no_runtime,delay_jitter,relative_gap_m,0.886411149825784,90.30554409395259
predictor_only_no_runtime,drift_combo,ego_speed_mps,0.9542682926829268,2.865476468460799
predictor_only_no_runtime,drift_combo,relative_gap_m,0.900609756097561,88.91559249606603
predictor_only_no_runtime,dropout,ego_speed_mps,0.9499011206328279,2.5773630841852553
predictor_only_no_runtime,dropout,relative_gap_m,0.8602504943968359,88.46042380346084
predictor_only_no_runtime,out_of_order,ego_speed_mps,0.9421440726035167,2.4661271284018516
predictor_only_no_runtime,out_of_order,relative_gap_m,0.8933635847986386,85.93378061840174
predictor_only_no_runtime,spikes,ego_speed_mps,0.8929539295392954,2.66057097654619
