rmse,mae,mape,smape,target,model,daylight_mape
298.6000157184173,185.93743041795145,0.003922968131321532,0.003911473903321219,load_mw,gbm,
4975.172724385955,3633.784332033787,0.0689612324628587,0.07096101031748166,load_mw,lstm,
6157.075359090004,5172.092866547439,0.09933457774538754,0.106351766897947,load_mw,tcn,
6010.558996858891,3901.6784055727553,0.07712115232412328,0.07831626978944539,load_mw,persistence,
125.59034623881816,84.84647259377734,0.0225560790273501,0.01948417381524536,wind_mw,gbm,
6088.681917184256,4712.231697154939,1.082712566266003,0.5649990812670935,wind_mw,lstm,
7086.184863970565,5011.337688603397,0.959135282851123,0.597803473619078,wind_mw,tcn,
7780.098019853568,5496.818498452012,0.899751897557905,0.6368164331302137,wind_mw,persistence,
263.92894737160117,123.88871160744712,56557498.433411874,0.6955383652478094,solar_mw,gbm,0.0876112802795579
4629.5762336389425,3219.9212915547964,3654259.587926467,1.1738874543958908,solar_mw,lstm,3654259.587926467
2768.8137274165933,2114.2282694061646,6170236.228625847,0.9969703950115268,solar_mw,tcn,6170236.228625847
2427.465494058608,1254.8564241486067,348297.3640873443,0.1425602904818673,solar_mw,persistence,0.2217921835445223
