domain,controller,baseline_family,metric_surface,evidence_status,tsvr,oasg,cva,intervention_rate,fallback_activation_rate,certificate_valid_rate,t11_pass_rate,postcondition_pass_rate,runtime_witness_pass_rate,useful_work_total,n_steps,runtime_source,trace_source,representative_trace_id,independent_baseline,claim_boundary_note
Medical and Healthcare Monitoring,baseline,nominal_deterministic_controller,runtime_denominator,runtime_native_comparator,0.194489,0.000342,1.000000,0.000000,0.000000,0.000000,0.000000,0.805511,0.000000,221108.000000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,healthcare-baseline-p001453-0,True,Runtime-native nominal controller row.
Medical and Healthcare Monitoring,fixed_conservative_alert,fixed_threshold_or_fixed_inflation_runtime,runtime_denominator,runtime_native_comparator,0.200420,0.799580,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38413.200000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,,True,Runtime-native conservative fixed-threshold/fallback comparator.
Medical and Healthcare Monitoring,conformal_alert_only,standard_conformal_nonreliability_runtime,runtime_denominator,runtime_native_comparator,0.200420,0.799580,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,84077.200000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,,True,Runtime-native non-reliability-aware comparator surface.
Medical and Healthcare Monitoring,predictor_only_no_runtime,no_quality_signal_runtime,runtime_denominator,runtime_native_comparator,0.200420,0.799580,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,109752.000000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,,True,Runtime-native quality-signal ablation comparator.
Medical and Healthcare Monitoring,ews_threshold,no_adaptive_response_runtime,runtime_denominator,runtime_native_comparator,0.000029,0.999971,0.000000,1.000000,0.496292,0.000000,0.000000,0.000000,0.000000,51852.000000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,,True,Runtime-native non-adaptive-response comparator.
Medical and Healthcare Monitoring,stale_certificate_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_denominator,runtime_native_comparator,0.000029,0.999971,0.000000,1.000000,0.442184,0.000000,0.000000,0.000000,0.000000,49765.950000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,,True,Runtime-native temporal-guard/certificate-refresh ablation comparator.
Medical and Healthcare Monitoring,orius,orius_full_stack,runtime_denominator,runtime_native_full_stack,0.000000,0.000000,1.000000,0.479907,0.479907,1.000000,1.000000,1.000000,1.000000,142767.000000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,healthcare-orius-p001453-0,True,Canonical ORIUS runtime full-stack row.
Medical and Healthcare Monitoring,always_alert,degenerate_fallback_runtime,runtime_denominator,runtime_native_degenerate_fallback,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,0.000000,137262,reports/healthcare/runtime_summary.csv,reports/healthcare/runtime_traces.csv,healthcare-always_alert-p001453-0,True,Degenerate safe fallback comparator for non-vacuous utility checks.
