row_index,command_id,has_expiry_metadata,validity_horizon_H_t,half_life_steps,expires_at_step,validity_status,expiry_consistent
85,0860efd2-b503-463e-adbb-826cf7ffa390,False,,,,,True
86,21522276-b30f-4b6f-88b8-46095715c103,False,,,,,True
87,4f963f4a-814f-4042-bf7c-8c543e384a2d,False,,,,,True
88,74fe2969-d6f7-4031-ba9a-13f818427c7a,False,,,,,True
89,de9ebe1c-d9ee-47cb-a6a5-d4344db0c54f,False,,,,,True
90,12af71bf-b549-45c8-b409-d697f2311492,False,,,,,True
91,44488ff7-6606-4462-ace8-a3486ad5003b,False,,,,,True
92,edf696e9-9120-4b1d-b1ce-a244bb2893e6,False,,,,,True
93,951bfeae-0f87-4c60-84fb-3e29498cb4ab,False,,,,,True
94,66f0a231-332a-4f81-85cf-c5bbb3e26bc6,False,,,,,True
95,442cddbf-6700-4ddf-a1f9-d0de3475116b,False,,,,,True
96,9174ebd6-832a-4b81-a010-d54c529eefc1,False,,,,,True
97,13644963-d799-4f2a-9aa8-af387e5f6e4f,False,,,,,True
98,4887b5fe-0ad1-4f13-b33d-76f1c75d4968,False,,,,,True
99,7801eb5a-2c1b-408f-81ca-6c9e8741a0f2,False,,,,,True
100,6cca60b2-64f7-4c98-a67d-4add31d31df4,False,,,,,True
101,e9e2eb52-12c3-490a-b39a-9fbc3cda7d60,False,,,,,True
102,332003a2-3939-4587-950a-bfd586c2d191,False,,,,,True
103,a49ce115-39fb-471f-be34-7ed5751f9374,False,,,,,True
104,a0bd209b-720d-4b45-b590-b229e4035b20,False,,,,,True
105,c3bc1981-9840-4ec2-9a10-ba9810ce1617,False,,,,,True
106,28674415-8374-409a-9771-6f5bbaf32b56,False,,,,,True
107,5bfc8166-b448-4b2b-9e72-a3d2106d2dc3,False,,,,,True
108,6f055e27-ddf6-4972-91bc-1eec2f83000c,False,,,,,True
109,7574a0e6-b75e-4dc5-9912-db8d0fceef61,False,,,,,True
110,beb473c1-41c5-4ff9-930d-c34284a1a784,False,,,,,True
111,b6942b2e-5602-4659-8fc3-0c13d1ad4535,False,,,,,True
112,220671f9-3563-4cba-bc73-e684b18ec110,False,,,,,True
113,575c4c97-8730-42f2-8084-8ec0d82a80b9,False,,,,,True
114,05a930e0-c622-42c3-b2ce-60de3cc74f99,False,,,,,True
115,4d3705c9-cf27-4d3e-91c2-85eca2ef0a5d,False,,,,,True
116,82eaac2b-b68a-4eb9-a165-7c0adc4f3427,False,,,,,True
117,a420829f-9d5c-4df3-9745-f521b5baf0ed,False,,,,,True
