component,mean_ms,median_ms,p95_ms,p99_ms,max_ms
Reliability scoring,0.0929,0.0356,0.0662,1.0238,19.9580
Drift update (Page-Hinkley),0.0011,0.0008,0.0009,0.0011,0.3115
Uncertainty set build,0.0260,0.0208,0.0253,0.1241,1.9977
Action repair (projection),0.0059,0.0037,0.0070,0.0696,0.7205
Full DC3S step,0.0899,0.0727,0.2336,0.4981,1.0828
