fault_type,count,covered,miss_count,avg_interval_width,avg_abs_residual,empirical_coverage,under_coverage_gap
delay_jitter,1083,1079,4,7.643347634659887,0.4510574124078474,0.9963065558633426,0.0
drift_combo,921,921,0,6.625329236236567,0.43668289594309895,1.0,0.0
dropout,515,514,1,5.7213766121542875,0.2713826402007799,0.9980582524271845,0.0
out_of_order,1172,1168,4,6.76274797891768,0.3714851442271507,0.9965870307167235,0.0
spikes,399,399,0,6.282487034652826,0.29913747018711434,1.0,0.0
stale,572,572,0,7.038088219970942,0.4080382292477607,1.0,0.0
