volatility_bin,count,covered,miss_count,avg_interval_width,avg_abs_residual,empirical_coverage,under_coverage_gap
0,3002,2995,7,6.013458836954765,0.34384117992750945,0.9976682211858761,0.0
1,689,687,2,6.994015439030096,0.44655299970894274,0.9970972423802612,0.0
2,459,459,0,6.935288663816564,0.3623414012493976,1.0,0.0
3,219,219,0,7.050625864906991,0.38107239761841216,1.0,0.0
4,293,293,0,7.855843069920274,0.43298994788291406,1.0,0.0
