scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
drift_combo,11,cvar_interval,cvar_interval,204986203.815950,1433202794.893227,-0.004652,1.000000,0.000000,951.890877,0.845238,1.000000,951.890877,948.870247,0.000000,117431119.337030,117456905.364382,0.535714,956.470870,0.285714,976.739197,0.285714,974.205656,3219.734714,5024.750468,0.369048,0.369048,951.890877,0.190476,2.204433,0.000000,0.000000,0.190476,16.000000,0.137777,0.423239,0.137777,0.423239,-0.423239,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
drift_combo,11,dc3s_wrapped,dc3s_wrapped,204989830.537303,1433189313.124915,-0.002883,0.926000,0.000000,1049.705863,0.976190,0.952381,1049.705863,2030.582329,0.000000,,,0.535714,956.470870,0.285714,976.739197,0.285714,974.205656,3219.734714,5024.750468,0.369048,0.369048,1049.705863,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.031678,10000.000000,0.000000,0.047619,0.047619,0.000000,1.000000,0.000000
drift_combo,11,deterministic_lp,deterministic_lp,204995740.578644,1433225536.367000,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,0.535714,956.470870,0.285714,976.739197,0.285714,974.205656,3219.734714,5024.750468,0.369048,0.369048,951.890877,0.083333,319.358019,0.142857,0.000000,0.083333,7.000000,45.622574,213.861313,45.622574,213.861313,-297.834892,10000.000000,1.714286,0.083333,0.000000,0.000000,0.000000,336.000000
drift_combo,11,robust_fixed_interval,robust_fixed_interval,204986203.815950,1433202794.893227,-0.004652,1.000000,0.000000,12117.505735,0.845238,1.000000,12117.505735,13755.305956,0.000000,,,0.535714,956.470870,0.285714,976.739197,0.285714,974.205656,3219.734714,5024.750468,0.785714,0.857143,12117.505735,0.190476,2.204433,0.000000,0.000000,0.190476,16.000000,0.137777,0.423239,0.137777,0.423239,-0.423239,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
drift_combo,22,cvar_interval,cvar_interval,204519615.463316,1436396093.695541,-0.003097,1.000000,0.000000,951.890877,0.273810,1.000000,951.890877,948.870247,0.000000,178593969.546763,178628502.417838,0.357143,971.844787,0.321429,979.183693,0.464286,956.994303,3300.870303,5703.169243,0.380952,0.392857,951.890877,0.750000,24.955848,0.000000,0.000000,0.750000,63.000000,0.396125,0.396125,0.396125,0.396125,-0.396125,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000
drift_combo,22,dc3s_wrapped,dc3s_wrapped,204520929.908716,1436443531.688156,-0.002455,0.951265,0.000000,1020.938232,0.976190,0.976190,1020.938232,1477.155343,0.000000,,,0.357143,971.844787,0.321429,979.183693,0.464286,956.994303,3300.870303,5703.169243,0.380952,0.392857,1020.938232,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.064760,10000.000000,0.000000,0.023810,0.023810,0.000000,1.000000,0.000000
drift_combo,22,deterministic_lp,deterministic_lp,204525950.547868,1436423500.249427,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,0.357143,971.844787,0.321429,979.183693,0.464286,956.994303,3300.870303,5703.169243,0.380952,0.392857,951.890877,0.095238,332.169378,0.212121,0.000000,0.095238,8.000000,41.521172,209.168890,41.521172,209.168890,-311.482242,10191.869412,4.500000,0.095238,0.000000,0.000000,0.000000,336.000000
drift_combo,22,robust_fixed_interval,robust_fixed_interval,204519615.463316,1436396093.695541,-0.003097,1.000000,0.000000,12273.645026,0.273810,1.000000,12273.645026,13880.389836,0.000000,,,0.357143,971.844787,0.321429,979.183693,0.464286,956.994303,3300.870303,5703.169243,0.773810,0.869048,12273.645026,0.750000,24.955848,0.000000,0.000000,0.750000,63.000000,0.396125,0.396125,0.396125,0.396125,-0.396125,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000
dropout,11,cvar_interval,cvar_interval,192712774.195552,1347321678.405873,-0.004698,1.000000,0.000000,951.890877,0.952381,1.000000,951.890877,948.870247,0.000000,99973369.727151,99997021.262900,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,951.890877,0.059524,1.114570,0.000000,0.000000,0.059524,5.000000,0.222914,0.368111,0.222914,0.368111,-0.416510,10000.000000,3.000000,0.059524,0.000000,0.000000,0.000000,336.000000
dropout,11,dc3s_wrapped,dc3s_wrapped,192712802.739079,1347321912.564181,-0.004683,0.999693,0.000000,965.796090,0.964286,0.964286,965.796090,948.870247,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,965.796090,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.211451,10000.000000,0.000000,0.035714,0.035714,0.000000,1.000000,0.000000
dropout,11,deterministic_lp,deterministic_lp,192721827.528813,1347343139.035425,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,0.928571,0.928571,951.890877,0.107143,318.360388,0.000000,0.000000,0.107143,9.000000,35.373376,185.680061,35.373376,185.680061,-297.506328,10000.000000,2.777778,0.107143,0.000000,0.000000,0.000000,336.000000
dropout,11,robust_fixed_interval,robust_fixed_interval,192712774.195552,1347321678.405873,-0.004698,1.000000,0.000000,12000.821611,0.952381,1.000000,12000.821611,13708.540570,0.000000,,,0.928571,948.870247,0.928571,948.870247,0.928571,948.870247,101.520634,387.051247,1.000000,1.000000,12000.821611,0.059524,1.114570,0.000000,0.000000,0.059524,5.000000,0.222914,0.368111,0.222914,0.368111,-0.416510,10000.000000,3.000000,0.059524,0.000000,0.000000,0.000000,336.000000
dropout,22,cvar_interval,cvar_interval,192272056.267063,1350564232.289626,-0.003283,1.000000,0.000000,951.890877,0.440476,1.000000,951.890877,948.870247,0.000000,136803348.047425,136841533.471290,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,951.890877,0.750000,7.358102,0.000000,0.000000,0.750000,63.000000,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000
dropout,22,dc3s_wrapped,dc3s_wrapped,192328744.735377,1350598291.873573,0.026199,0.999353,0.000000,966.183231,1.000000,0.952381,966.183231,948.870247,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,966.183231,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.095503,10000.000000,0.000000,0.047619,0.047619,0.000000,1.000000,0.000000
dropout,22,deterministic_lp,deterministic_lp,192278369.698866,1350591499.345840,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,0.952381,0.952381,951.890877,0.130952,332.590670,0.500000,0.000000,0.130952,11.000000,30.235515,165.054179,30.235515,165.054179,-311.177775,10191.869412,3.181818,0.130952,0.000000,0.000000,0.000000,336.000000
dropout,22,robust_fixed_interval,robust_fixed_interval,192272056.267063,1350564232.289626,-0.003283,1.000000,0.000000,12002.526997,0.440476,1.000000,12002.526997,13842.076902,0.000000,,,1.000000,948.870247,0.928571,948.870247,0.928571,948.870247,65.192960,291.222678,1.000000,1.000000,12002.526997,0.750000,7.358102,0.000000,0.000000,0.750000,63.000000,0.116795,0.184403,0.116795,0.184403,-0.184403,10000.000000,32.000000,0.750000,0.000000,0.000000,0.000000,336.000000
nominal,11,cvar_interval,cvar_interval,192712776.968431,1347321730.142499,-0.004709,1.000000,0.000000,951.890877,0.869048,1.000000,951.890877,948.870247,0.000000,107713334.170589,107738242.214321,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.190476,2.190499,0.000000,0.000000,0.190476,16.000000,0.136906,0.272948,0.136906,0.272948,-0.272948,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
nominal,11,dc3s_wrapped,dc3s_wrapped,192774908.747769,1347328542.370707,0.027530,0.999693,0.000000,952.240800,1.000000,0.940476,952.240800,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,952.240800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.088166,10000.000000,0.000000,0.059524,0.059524,0.000000,1.000000,0.000000
nominal,11,deterministic_lp,deterministic_lp,192721851.947759,1347343336.738146,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.107143,317.832565,0.000000,0.000000,0.107143,9.000000,35.314729,186.004768,35.314729,186.004768,-297.811534,10000.000000,3.000000,0.107143,0.000000,0.000000,0.000000,336.000000
nominal,11,robust_fixed_interval,robust_fixed_interval,192712776.968431,1347321730.142499,-0.004709,1.000000,0.000000,11996.964918,0.869048,1.000000,11996.964918,13708.540570,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,11996.964918,0.190476,2.190499,0.000000,0.000000,0.190476,16.000000,0.136906,0.272948,0.136906,0.272948,-0.272948,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
nominal,22,cvar_interval,cvar_interval,192272063.844697,1350564279.100740,-0.003279,1.000000,0.000000,951.890877,0.702381,1.000000,951.890877,948.870247,0.000000,116057051.444961,116089204.187639,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.190476,0.284666,0.000000,0.000000,0.190476,16.000000,0.017792,0.068803,0.017792,0.068803,-0.068803,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
nominal,22,dc3s_wrapped,dc3s_wrapped,192272072.684761,1350564338.392768,-0.003274,0.999353,0.000000,952.627942,0.738095,0.976190,952.627942,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,952.627942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.089853,10000.000000,0.000000,0.023810,0.023810,0.000000,1.000000,0.000000
nominal,22,deterministic_lp,deterministic_lp,192278368.139345,1350591503.314968,0.000000,1.000000,0.000000,951.890877,1.000000,1.000000,951.890877,948.870247,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,951.890877,0.095238,331.631761,0.000000,0.000000,0.095238,8.000000,41.453970,208.668880,41.453970,208.668880,-310.854372,10191.869412,2.875000,0.095238,0.000000,0.000000,0.000000,336.000000
nominal,22,robust_fixed_interval,robust_fixed_interval,192272063.844697,1350564279.100740,-0.003279,1.000000,0.000000,12005.917483,0.702381,1.000000,12005.917483,13842.076902,0.000000,,,1.000000,948.870247,1.000000,948.870247,1.000000,948.870247,0.000000,0.000000,1.000000,1.000000,12005.917483,0.190476,0.284666,0.000000,0.000000,0.190476,16.000000,0.017792,0.068803,0.017792,0.068803,-0.068803,10000.000000,8.500000,0.190476,0.000000,0.000000,0.000000,336.000000
