t_steps,validity_prob
1,0.9999999229399705
2,0.9998552497129953
3,0.9980817855245105
4,0.9927890126513563
5,0.9837509182409176
6,0.971755778391558
7,0.9577587824095171
8,0.942560790474487
9,0.9267537799904397
10,0.9107505389664154
11,0.8948291174691354
12,0.8791715382226284
13,0.863893054077874
14,0.8490630720074437
15,0.83471976703528
16,0.8208801894400941
17,0.807547231879505
18,0.7947144298772573
19,0.7823692709392911
20,0.7704954758031417
21,0.759074569140324
22,0.7480869572882187
23,0.7375126627534294
24,0.727331819035895
25,0.7175249977492251
26,0.7080734183214126
27,0.6989590755727457
28,0.6901648100510847
29,0.6816743387223982
30,0.673472258495003
31,0.665544031438317
32,0.6578759579885824
33,0.6504551426031666
34,0.6432694550154774
35,0.6363074893033716
36,0.6295585223092217
37,0.6230124724647483
38,0.6166598597251709
39,0.6104917670672563
40,0.6044998038272509
41,0.5986760710278545
42,0.5930131287541789
43,0.5875039655767267
44,0.5821419699773112
45,0.5769209037061214
46,0.5718348769807111
47,0.5668783254277299
48,0.5620459886635076
49,0.5573328904086012
50,0.5527343200329669
51,0.5482458154316872
52,0.5438631471355424
53,0.5395823035657537
54,0.5353994773475885
55,0.5313110526030127
56,0.5273135931480333
57,0.5234038315256806
58,0.5195786588106794
59,0.5158351151267004
60,0.5121703808216405
61,0.5085817682506479
62,0.5050667141205818
63,0.5016227723532878
64,0.4982476074284721
65,0.49493898817011406
66,0.4916947819432489
67,0.4885129492306195
68,0.48539153856114625
69,0.482328681764407
70,0.4793225895273878
71,0.4763715472316421
72,0.47347391105074554
73,0.4706281042895002
74,0.46783261394781794
75,0.46508598749352403
76,0.46238682982956325
77,0.45973380044219603
78,0.4571256107178079
79,0.4545610214168909
80,0.4520388402946298
81,0.4495579198583073
82,0.44711715525247975
83,0.44471548226354285
84,0.4423518754359206
85,0.4400253462926784
86,0.4377349416538805
87,0.4354797420464944
88,0.43325886020008375
89,0.4310714396229418
90,0.42891665325368766
91,0.4267937021837007
92,0.4247018144460817
93,0.4226402438671337
94,0.4206082689766153
95,0.4186051919732867
96,0.4166303377424909
97,0.4146830529227348
98,0.4127627050184346
99,0.41086868155617196
100,0.4090003892819858
101,0.4071572533973793
102,0.4053387168318725
103,0.4035442395500686
104,0.401773297891328
105,0.40002538394026876
106,0.39830000492641404
107,0.39659668265142045
108,0.3949149529424114
109,0.3932543651300251
110,0.391614481549885
111,0.389994877066258
112,0.3883951386167588
113,0.38681486477700977
114,0.3852536653442413
115,0.3837111609388686
116,0.3821869826231423
117,0.38068077153601876
118,0.3791921785434438
119,0.3777208639032925
120,0.3762664969442471
121,0.37482875575793795
122,0.37340732690370504
123,0.37200190512537823
124,0.37061219307950455
125,0.3692379010744822
126,0.3678787468200877
127,0.3665344551869172
128,0.36520475797527774
129,0.3638893936930989
130,0.36258810734245284
131,0.3613006502142875
132,0.3600267796910135
133,0.3587662590565832
134,0.3575188573137347
135,0.35628434900808537
136,0.3550625140587711
137,0.3538531375953491
138,0.3526560098006928
139,0.3514709257596187
140,0.35029768531300576
141,0.34913609291716874
142,0.347985957508266
143,0.3468470923715321
144,0.3457193150151332
145,0.34460244704845167
146,0.343496314064623
147,0.34240074552714517
148,0.34131557466040063
149,0.34024063834392715
150,0.33917577701029256
151,0.33812083454642616
152,0.3370756581982699
153,0.3360400984786205
154,0.33501400907803514
155,0.3339972467786827
156,0.33298967137102564
157,0.3319911455732245
158,0.3310015349531592
159,0.33002070785297066
160,0.3290485353160215
161,0.32808489101619287
162,0.3271296511894213
163,0.32618269456739934
164,0.3252439023133564
165,0.32431315795984306
166,0.3233903473484465
167,0.32247535857136733
168,0.32156808191478925
169,0.32066840980397693
170,0.31977623675004185
171,0.3188914592983141
172,0.31801397597826675
173,0.3171436872549336
174,0.3162804954817724
175,0.31542430485492035
176,0.3145750213687948
177,0.3137325527729913
178,0.3128968085304382
179,0.3120676997767584
180,0.31124513928080444
181,0.3104290414063222
182,0.3096193220747079
183,0.3088158987288201
184,0.30801869029781304
185,0.3072276171629569
186,0.30644260112441213
187,0.3056635653689268
188,0.30489043443842867
189,0.30412313419947723
190,0.30336159181355704
191,0.3026057357081764
192,0.30185549554875113
193,0.3011108022112463
194,0.30037158775555217
195,0.2996377853995722
196,0.2989093294939993
197,0.2981861554977585
198,0.29746819995409934
199,0.29675540046731186
200,0.29604769568005085
201,0.2953450252512497
202,0.29464732983460484
203,0.29395455105761226
204,0.29326663150114207
205,0.29258351467953436
206,0.29190514502119846
207,0.2912314678497021
208,0.29056242936533794
209,0.2898979766271501
210,0.28923805753540766
211,0.28858262081451436
212,0.28793161599634054
213,0.2872849934039625
214,0.2866427041358035
215,0.2860047000501571
216,0.28537093375008915
217,0.28474135856870353
218,0.284115928554761
219,0.2834945984586441
220,0.28287732371865726
221,0.2822640604476474
222,0.28165476541994927
223,0.28104939605862844
224,0.28044791042303174
225,0.2798502671966221
226,0.2792564256750998
227,0.2786663457547973
228,0.2780799879213418
229,0.2774973132385776
230,0.27691828333774193
231,0.2763428604068885
232,0.27577100718054814
233,0.2752026869296249
234,0.2746378634515194
235,0.2740765010604722
236,0.2735185645781233
237,0.27296401932428105
238,0.2724128311078966
239,0.27186496621823464
240,0.2713203914162403
241,0.2707790739260947
242,0.2702409814269524
243,0.26970608204486
244,0.2691743443448493
245,0.26864573732319963
246,0.26812023039986643
247,0.26759779341107226
248,0.26707839660205446
249,0.2665620106199671
250,0.26604860650693296
251,0.2655381556932408
252,0.26503062999068594
253,0.2645260015860502
254,0.2640242430347155
255,0.26352532725441313
256,0.26302922751909796
257,0.262535917452952
258,0.262045371024509
259,0.26155756254090035
260,0.2610724666422155
261,0.2605900582959799
262,0.2601103127917421
263,0.25963320573577064
264,0.2591587130458568
265,0.25868681094622126
266,0.25821747596252287
267,0.25775068491696507
268,0.25728641492350013
269,0.2568246433831267
270,0.2563653479792809
271,0.255908506673316
272,0.25545409770007166
273,0.25500209956352826
274,0.2545524910325445
275,0.2541052511366799
276,0.2536603591620943
277,0.2532177946475276
278,0.25277753738035624
279,0.2523395673927231
280,0.2519038649577441
281,0.25147041058578123
282,0.25103918502079114
283,0.2506101692367384
284,0.2501833444340775
285,0.24975869203629886
286,0.24933619368654214
287,0.24891583124426786
288,0.24849758678199407
289,0.24808144258209075
290,0.24766738113363385
291,0.24725538512931644
292,0.24684543746241694
293,0.24643752122382012
294,0.24603161969909504
295,0.24562771636562264
296,0.24522579488977692
297,0.244825839124156
298,0.24442783310486216
299,0.2440317610488305
300,0.24363760735120543
301,0.2432453565827628
302,0.2428549934873776
303,0.24246650297953698
304,0.24207987014189514
305,0.24169508022287234
306,0.24131211863429525
307,0.24093097094907723
308,0.24055162289894128
309,0.24017406037217826
310,0.239798269411448
311,0.23942423621161413
312,0.2390519471176189
313,0.2386813886223922
314,0.23831254736479734
315,0.23794541012760995
316,0.23757996383553315
317,0.23721619555324436
318,0.23685409248347522
319,0.236493641965124
320,0.23613483147139913
321,0.23577764860799433
322,0.23542208111129148
323,0.23506811684659712
324,0.2347157438064038
325,0.23436495010868352
326,0.23401572399520676
327,0.23366805382988898
328,0.2333219280971668
329,0.2329773354003961
330,0.23263426446027946
331,0.23229270411331804
332,0.23195264331028764
333,0.23161407111473942
334,0.23127697670152547
335,0.2309413493553476
336,0.23060717846932688
337,0.23027445354360032
338,0.22994316418393534
339,0.2296133001003684
340,0.22928485110586516
341,0.22895780711499958
342,0.22863215814265714
343,0.22830789430275367
344,0.22798500580697878
345,0.22766348296355488
346,0.22734331617601833
347,0.22702449594201735
348,0.22670701285212913
349,0.2263908575886946
350,0.22607602092467305
351,0.22576249372251067
352,0.22545026693302872
353,0.22513933159432886
354,0.22482967883071314
355,0.22452129985162173
