w,h_eff_k5.0
0.0,-2.0
0.01,-1.9500000000000002
0.02,-1.9000000000000004
0.03,-1.8499999999999996
0.04,-1.7999999999999998
0.05,-1.75
0.06,-1.6999999999999993
0.07,-1.6499999999999995
0.08,-1.6000000000000005
0.09,-1.5499999999999998
0.1,-1.5
0.11,-1.4500000000000002
0.12,-1.4000000000000004
0.13,-1.3499999999999996
0.14,-1.2999999999999998
0.15,-1.25
0.16,-1.2000000000000002
0.17,-1.1499999999999995
0.18,-1.1000000000000005
0.19,-1.0500000000000007
0.2,-1.0
0.21,-0.9500000000000002
0.22,-0.9000000000000004
0.23,-0.8500000000000001
0.24,-0.7999999999999998
0.25,-0.75
0.26,-0.7000000000000002
0.27,-0.6499999999999999
0.28,-0.5999999999999996
0.29,-0.5499999999999998
0.3,-0.5
0.31,-0.44999999999999973
0.32,-0.39999999999999947
0.33,-0.34999999999999964
0.34,-0.2999999999999998
0.35000000000000003,-0.24999999999999956
0.36,-0.20000000000000018
0.37,-0.1499999999999999
0.38,-0.10000000000000009
0.39,-0.04999999999999982
0.4,0.0
0.41000000000000003,0.050000000000000266
0.42,0.09999999999999964
0.43,0.14999999999999947
0.44,0.19999999999999973
0.45,0.25
0.46,0.2999999999999998
0.47000000000000003,0.34999999999999964
0.48,0.3999999999999999
0.49,0.4500000000000002
0.5,0.5
0.51,0.5499999999999998
0.52,0.6000000000000001
0.53,0.6500000000000004
0.54,0.7000000000000002
0.55,0.75
0.56,0.8000000000000003
0.5700000000000001,0.8500000000000005
0.58,0.8999999999999999
0.59,0.9499999999999997
0.6,1.0
0.61,1.0499999999999998
0.62,1.1
0.63,1.15
0.64,1.2000000000000002
0.65,1.25
0.66,1.3000000000000003
0.67,1.35
0.68,1.4000000000000004
0.6900000000000001,1.4500000000000002
0.7000000000000001,1.5000000000000004
0.71,1.5499999999999998
0.72,1.5999999999999999
0.73,1.65
0.74,1.7
0.75,1.75
0.76,1.8
0.77,1.85
0.78,1.9000000000000001
0.79,1.9500000000000002
0.8,2.0
0.81,2.0500000000000003
0.8200000000000001,2.1000000000000005
0.8300000000000001,2.1500000000000004
0.84,2.1999999999999997
0.85,2.25
0.86,2.3
0.87,2.35
0.88,2.4
0.89,2.45
0.9,2.5
0.91,2.5500000000000003
0.92,2.6
0.93,2.6500000000000004
0.9400000000000001,2.7
0.9500000000000001,2.7500000000000004
0.96,2.8
0.97,2.8499999999999996
0.98,2.9
0.99,2.95
1.0,3.0
