t_steps,validity_prob
1,0.9999999013927672
2,0.9998356792648277
3,0.9979080409697962
4,0.9922928302697791
5,0.9828428616618907
6,0.9704197689270224
7,0.9560193808175641
8,0.9404596627689723
9,0.9243369408546551
10,0.9080623082984611
11,0.8919096427270541
12,0.8760560746091866
13,0.860612056369759
14,0.8456426235532146
15,0.8311821157210131
16,0.8172442839195111
17,0.8038292127968956
18,0.7909280607356952
19,0.778526307299217
20,0.7666059775805816
21,0.7551471629489703
22,0.7441290560867584
23,0.7335306495545879
24,0.7233312006216721
25,0.7135105334657235
26,0.7040492282083031
27,0.6949287313601338
28,0.6861314119403041
29,0.6776405803517327
30,0.6694404820650668
31,0.6615162746217513
32,0.6538539939622816
33,0.6464405143072627
34,0.6392635045522206
35,0.6323113832328755
36,0.6255732734712205
37,0.6190389588507212
38,0.612698840839065
39,0.6065438981420976
40,0.6005656482063428
41,0.5947561109707473
42,0.5891077748873079
43,0.5836135651750647
44,0.5782668142353837
45,0.5730612341332748
46,0.5679908910358451
47,0.5630501814921316
48,0.5582338104364444
49,0.5535367707984948
50,0.5489543246069393
51,0.5444819854777279
52,0.5401155023842841
53,0.5358508446126158
54,0.5316841878107388
55,0.5276119010480236
56,0.5236305348061823
57,0.5197368098294644
58,0.5159276067671814
59,0.5121999565469284
60,0.5085510314217514
61,0.5049781366390778
62,0.5014787026834395
63,0.4980502780489209
64,0.4946905225008602
65,0.49139720078963456
66,0.4881681767823942
67,0.4850014079813978
68,0.4818949404001498
69,0.47884690377087735
70,0.47585550705902424
71,0.47291903426239723
72,0.4700358404743885
73,0.46720434819234047
74,0.4644230438536152
75,0.46169047458331014
76,0.45900524513880825
77,0.45636601503751084
78,0.45377149585515153
79,0.4512204486830549
80,0.44871168173359166
81,0.4462440480838916
82,0.44381644354862493
83,0.44142780467334
84,0.4390771068404844
85,0.4367633624808036
86,0.4344856193833506
87,0.43224295909782207
88,0.430034495423395
89,0.42785937297864174
90,0.4257167658474945
91,0.42360587629657465
92,0.42152593355952894
93,0.41947619268431957
94,0.4174559334396859
95,0.41546445927725584
96,0.41350109634602084
97,0.4115651925561099
98,0.4096561166889965
99,0.4077732575514652
100,0.4059160231708381
101,0.40408384002912046
102,0.40227615233387914
103,0.4004924213238046
104,0.39873212460703633
105,0.39699475553045427
106,0.3952798225782479
107,0.3935868487981826
108,0.39191537125407705
109,0.39026494050309624
110,0.388635120096551
111,0.3870254861029727
112,0.3854356266523009
113,0.3838651415000991
114,0.38231364161077086
115,0.38078074875880796
116,0.3792660951471625
117,0.3777693230418866
118,0.3762900844222272
119,0.37482804064541386
120,0.3733828621254214
121,0.37195422802502587
122,0.3705418259605089
123,0.36914535171841
124,0.36776450898374513
125,0.366399009079156
126,0.36504857071447083
127,0.36371291974619635
128,0.36239178894647517
129,0.36108491778107843
130,0.35979205219601695
131,0.35851294441238046
132,0.3572473527290356
133,0.3559950413328292
134,0.3547557801159624
135,0.35352934450022033
136,0.35231551526775506
137,0.35111407839813613
138,0.349924824911398
139,0.3487475507168254
140,0.34758205646722895
141,0.34642814741848316
142,0.34528563329409856
143,0.34415432815462066
144,0.3430340502716511
145,0.3419246220063046
146,0.3408258696919104
147,0.3397376235207956
148,0.33865971743497236
149,0.3375919890205812
150,0.33653427940593295
151,0.3354864331630083
152,0.33444829821227673
153,0.3334197257307039
154,0.332400570062823
155,0.3313906886347495
156,0.330389941871025
157,0.3293981931141823
158,0.3284153085469268
159,0.3274411571168332
160,0.3264756104634643
161,0.3255185428478191
162,0.32456983108402326
163,0.3236293544731781
164,0.32269699473929014
165,0.3217726359672006
166,0.32085616454244437
167,0.3199474690929698
168,0.31904644043264563
169,0.3181529715064979
170,0.317266957337611
171,0.31638829497563226
172,0.3155168834468265
173,0.3146526237056244
174,0.3137954185876122
175,0.312945172763911
176,0.31210179269690075
177,0.3112651865972398
178,0.310435264382136
179,0.309611937634827
180,0.30879511956522876
181,0.3079847249717127
182,0.3071806702039719
183,0.3063828731269431
184,0.30559125308574586
185,0.3048057308716081
186,0.3040262286887425
187,0.30325267012214696
188,0.3024849801062921
189,0.3017230848946757
190,0.3009669120302072
191,0.30021639031640346
192,0.2994714497893627
193,0.2987320216904972
194,0.2979980384399996
195,0.297269433611016
196,0.2965461419045081
197,0.29582809912478214
198,0.29511524215566065
199,0.29440750893728085
200,0.29370483844349904
201,0.2930071706598809
202,0.2923144465622627
203,0.29162660809586427
204,0.29094359815493576
205,0.2902653605629262
206,0.2895918400531532
207,0.2889229822499637
