w,h_eff_k1.0
0.0,-0.7335948902768694
0.01,-0.7235948902768694
0.02,-0.7135948902768694
0.03,-0.7035948902768694
0.04,-0.6935948902768694
0.05,-0.6835948902768694
0.06,-0.6735948902768694
0.07,-0.6635948902768694
0.08,-0.6535948902768695
0.09,-0.6435948902768694
0.1,-0.6335948902768694
0.11,-0.6235948902768694
0.12,-0.6135948902768694
0.13,-0.6035948902768694
0.14,-0.5935948902768694
0.15,-0.5835948902768694
0.16,-0.5735948902768694
0.17,-0.5635948902768694
0.18,-0.5535948902768695
0.19,-0.5435948902768695
0.2,-0.5335948902768695
0.21,-0.5235948902768695
0.22,-0.5135948902768694
0.23,-0.5035948902768694
0.24,-0.4935948902768694
0.25,-0.4835948902768694
0.26,-0.4735948902768694
0.27,-0.4635948902768694
0.28,-0.4535948902768694
0.29,-0.4435948902768694
0.3,-0.43359489027686937
0.31,-0.42359489027686936
0.32,-0.41359489027686935
0.33,-0.40359489027686934
0.34,-0.39359489027686934
0.35000000000000003,-0.3835948902768693
0.36,-0.37359489027686943
0.37,-0.3635948902768694
0.38,-0.3535948902768694
0.39,-0.3435948902768694
0.4,-0.3335948902768694
0.41000000000000003,-0.3235948902768694
0.42,-0.3135948902768695
0.43,-0.3035948902768695
0.44,-0.29359489027686947
0.45,-0.28359489027686946
0.46,-0.27359489027686945
0.47000000000000003,-0.26359489027686944
0.48,-0.25359489027686943
0.49,-0.24359489027686942
0.5,-0.23359489027686942
0.51,-0.2235948902768694
0.52,-0.2135948902768694
0.53,-0.2035948902768694
0.54,-0.19359489027686938
0.55,-0.18359489027686937
0.56,-0.17359489027686936
0.5700000000000001,-0.16359489027686935
0.58,-0.15359489027686946
0.59,-0.14359489027686945
0.6,-0.13359489027686944
0.61,-0.12359489027686943
0.62,-0.11359489027686942
0.63,-0.10359489027686941
0.64,-0.0935948902768694
0.65,-0.0835948902768694
0.66,-0.07359489027686938
0.67,-0.06359489027686938
0.68,-0.05359489027686937
0.6900000000000001,-0.04359489027686936
0.7000000000000001,-0.03359489027686935
0.71,-0.02359489027686945
0.72,-0.013594890276869442
0.73,-0.0035948902768694335
0.74,0.006405109723130575
0.75,0.016405109723130584
0.76,0.026405109723130593
0.77,0.0364051097231306
0.78,0.04640510972313061
0.79,0.05640510972313062
0.8,0.06640510972313063
0.81,0.07640510972313064
0.8200000000000001,0.08640510972313065
0.8300000000000001,0.09640510972313066
0.84,0.10640510972313055
0.85,0.11640510972313056
0.86,0.12640510972313057
0.87,0.13640510972313058
0.88,0.1464051097231306
0.89,0.1564051097231306
0.9,0.1664051097231306
0.91,0.17640510972313062
0.92,0.18640510972313062
0.93,0.19640510972313063
0.9400000000000001,0.20640510972313064
0.9500000000000001,0.21640510972313065
0.96,0.22640510972313055
0.97,0.23640510972313056
0.98,0.24640510972313057
0.99,0.2564051097231306
1.0,0.2664051097231306
