scenario,seed,controller,policy,expected_cost_usd,carbon_kg,cost_delta_pct,mean_reliability_w,mean_delta_mw,mean_interval_width_cert,solver_status_ok_rate,guarantee_checks_passed_rate,adaptive_width_mean,adaptive_width_p95,lambda_mw_used_mean,cvar_eta,cvar_cost,cqr_picp_group_low,cqr_width_group_low,cqr_picp_group_mid,cqr_width_group_mid,cqr_picp_group_high,cqr_width_group_high,mae,rmse,picp_90,picp_95,mean_interval_width,violation_rate,violation_severity,recovery_time,intervention_rate,true_soc_violation_rate,true_soc_violation_steps,true_soc_violation_severity_mean_mwh,true_soc_violation_severity_p95_mwh,true_soc_violation_severity_mean,true_soc_violation_severity_p95,true_soc_min_mwh,true_soc_max_mwh,recovery_time_mean,unsafe_command_rate,bms_trip_rate,grid_import_violation_rate,certificate_presence_rate,certificate_missing_fields
drift_combo,2,deterministic_lp,deterministic_lp,233366549.569414,1616308443.564504,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.750000,954.526869,0.437500,951.087095,0.062500,948.870247,2789.212328,4410.684983,0.416667,0.416667,951.513298,0.041667,616.951327,0.100000,0.000000,0.041667,4.000000,154.237832,497.430357,154.237832,497.430357,-578.952774,10000.000000,1.750000,0.041667,0.000000,0.000000,0.000000,384.000000
drift_combo,2,robust_fixed_interval,robust_fixed_interval,233051579.334788,1614313108.644458,-0.134968,1.000000,0.000000,12014.954857,0.708333,1.000000,12014.954857,13838.540712,0.000000,,,0.750000,954.526869,0.437500,951.087095,0.062500,948.870247,2789.212328,4410.684983,0.812500,0.895833,12014.954857,0.312500,132408.064996,0.000000,0.000000,0.312500,30.000000,4413.602167,4565.785549,4413.602167,4565.785549,-4565.785549,10000.000000,15.500000,0.312500,0.000000,0.000000,0.000000,384.000000
drift_combo,3,cvar_interval,cvar_interval,231797722.400614,1609656457.686982,-0.029854,1.000000,0.000000,951.513298,0.781250,1.000000,951.513298,948.870247,0.000000,139122303.460614,139147122.441353,0.843750,955.520792,0.468750,977.689275,0.062500,968.821882,2948.646297,4906.534546,0.458333,0.458333,951.513298,0.312500,5.624083,0.000000,0.000000,0.312500,30.000000,0.187469,0.220293,0.187469,0.220293,-0.220293,10000.000000,15.500000,0.312500,0.000000,0.000000,0.000000,384.000000
drift_combo,3,dc3s_wrapped,dc3s_wrapped,231863972.215237,1609667354.220671,-0.001282,0.852530,0.000000,2379.662378,1.000000,0.937500,2379.662378,10072.571635,4422.400000,,,0.843750,955.520792,0.468750,977.689275,0.062500,968.821882,2948.646297,4906.534546,0.489583,0.500000,2379.662378,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.182424,10000.000000,0.000000,0.062500,0.062500,0.000000,1.000000,0.000000
drift_combo,3,deterministic_lp,deterministic_lp,231866944.550012,1610334521.652577,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.843750,955.520792,0.468750,977.689275,0.062500,968.821882,2948.646297,4906.534546,0.458333,0.458333,951.513298,0.083333,674.988856,0.178082,0.000000,0.083333,8.000000,84.373607,321.388032,84.373607,321.388032,-332.862196,10000.000000,1.750000,0.083333,0.000000,0.000000,0.000000,384.000000
drift_combo,3,robust_fixed_interval,robust_fixed_interval,231797722.400614,1609656457.686982,-0.029854,1.000000,0.000000,11967.488529,0.781250,1.000000,11967.488529,14028.659649,0.000000,,,0.843750,955.520792,0.468750,977.689275,0.062500,968.821882,2948.646297,4906.534546,0.812500,0.854167,11967.488529,0.312500,5.624083,0.000000,0.000000,0.312500,30.000000,0.187469,0.220293,0.187469,0.220293,-0.220293,10000.000000,15.500000,0.312500,0.000000,0.000000,0.000000,384.000000
drift_combo,4,cvar_interval,cvar_interval,231987386.511031,1605682616.434603,-0.007004,1.000000,0.000000,951.513298,0.875000,1.000000,951.513298,948.870247,0.000000,127681018.673431,127709221.235151,0.718750,948.870247,0.375000,951.087095,0.062500,979.906123,3281.194787,4928.403050,0.385417,0.385417,951.513298,0.072917,1.662940,0.000000,0.000000,0.072917,7.000000,0.237563,0.249328,0.237563,0.249328,-0.255663,10000.000000,4.000000,0.072917,0.000000,0.000000,0.000000,384.000000
drift_combo,4,dc3s_wrapped,dc3s_wrapped,231987402.650623,1605682723.759717,-0.006997,0.857792,0.000000,2329.128935,0.906250,0.968750,2329.128935,10072.571635,4422.400000,,,0.718750,948.870247,0.375000,951.087095,0.062500,979.906123,3281.194787,4928.403050,0.395833,0.395833,2329.128935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.027580,10000.000000,0.000000,0.031250,0.031250,0.000000,1.000000,0.000000
drift_combo,4,deterministic_lp,deterministic_lp,232003635.023656,1605643395.939436,0.000000,1.000000,0.000000,951.513298,1.000000,1.000000,951.513298,948.870247,0.000000,,,0.718750,948.870247,0.375000,951.087095,0.062500,979.906123,3281.194787,4928.403050,0.385417,0.385417,951.513298,0.093750,357.377129,0.222222,0.000000,0.093750,9.000000,39.708570,207.412456,39.708570,207.412456,-332.037123,10000.000000,2.444444,0.093750,0.000000,0.000000,0.000000,384.000000
drift_combo,4,robust_fixed_interval,robust_fixed_interval,231987386.511031,1605682616.434603,-0.007004,1.000000,0.000000,12019.752629,0.875000,1.000000,12019.752629,13795.999386,0.000000,,,0.718750,948.870247,0.375000,951.087095,0.062500,979.906123,3281.194787,4928.403050,0.760417,0.854167,12019.752629,0.072917,1.662940,0.000000,0.000000,0.072917,7.000000,0.237563,0.249328,0.237563,0.249328,-0.255663,10000.000000,4.000000,0.072917,0.000000,0.000000,0.000000,384.000000
