controller,fault_family,rows,oasg_cases,max_margin_gap,mean_margin_gap
orius,spikes,255061,10249,94.70534155569243,-10.144218821424404
orius,drift_combo,250592,9040,94.96058453024374,-3.525440597347641
orius,stale,257316,5464,94.99697598969412,-2.7229206708505536
orius,out_of_order,254405,1550,94.81817254060617,-1.237016584359686
orius,delay_jitter,256660,741,94.98861405828771,-1.599037317121997
orius,dropout,257070,0,2.999576076226484,-40.07174049536389
