controller,tsvr,oasg,cva,gdq,intervention_rate,fallback_activation_rate,useful_work_total,useful_work_mean,audit_completeness,recovery_latency,n_steps
baseline,0.28925010972474763,0.023012806445545174,1.0,0.10773638289142735,0.0,0.0,232086.71439500828,0.15158128670228038,0.0,0.0,1531104
rss_cbf_filter,0.07795224883482768,0.01563642966121178,1.0,0.12631228397201805,0.3869808974439359,0.0,209747.53530313447,0.1369910439154587,0.0,0.0,1531104
robust_fixed_deceleration,0.2523192415407445,0.014053258302505905,1.0,0.07930902290387783,0.8968966183877777,0.0,162409.37168752385,0.1060733769146471,0.0,0.0,1531104
predictor_only_no_runtime,0.2893088908395511,0.023029134532990575,1.0,0.10772582845478496,0.0,0.0,232083.1718934556,0.15157897301127526,0.0,0.0,1531104
nonreliability_conformal_runtime,0.27736783392898195,0.019987538403661673,1.0,0.10829993257545052,0.2511161880577675,0.0,229464.54330640257,0.14986868514901833,0.0,0.0,1531104
stale_certificate_no_temporal_guard,0.2636104405709867,0.017091588814345728,1.0,0.10729189098867885,0.3406790133132694,0.0,223081.7117881286,0.14569990790183332,0.0,0.0,1531104
always_brake,0.0,0.0,1.0,0.04521320280882428,1.0,1.0,69226.11567340209,0.04521320280882428,0.0,0.0,1531104
orius,0.0001626277509561728,0.00015740276297364515,1.0,0.07587505991998869,0.5003010899324931,0.17371582857859427,116191.50370666239,0.07588740131739084,1.0,-6.057142857142857,1531104
