domain,controller,baseline_family,metric_surface,evidence_status,tsvr,oasg,cva,intervention_rate,fallback_activation_rate,certificate_valid_rate,t11_pass_rate,postcondition_pass_rate,runtime_witness_pass_rate,useful_work_total,n_steps,runtime_source,trace_source,representative_trace_id,independent_baseline,claim_boundary_note
Autonomous Vehicles,baseline,nominal_deterministic_controller,runtime_denominator,runtime_native_comparator,0.289250,0.023013,1.000000,0.000000,0.000000,0.000000,0.000000,0.710750,0.000000,232086.714395,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-baseline,True,Runtime-native nominal controller row.
Autonomous Vehicles,robust_fixed_deceleration,fixed_threshold_or_fixed_inflation_runtime,runtime_denominator,runtime_native_comparator,0.252319,0.014053,1.000000,0.896897,0.000000,0.000000,0.000000,0.747681,0.000000,162409.371688,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-robust_fixed_deceleration,True,Runtime-native conservative fixed-threshold/fallback comparator.
Autonomous Vehicles,nonreliability_conformal_runtime,standard_conformal_nonreliability_runtime,runtime_denominator,runtime_native_comparator,0.277368,0.019988,1.000000,0.251116,0.000000,0.000000,0.000000,0.722632,0.000000,229464.543306,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-nonreliability_conformal_runtime,True,Runtime-native non-reliability-aware comparator surface.
Autonomous Vehicles,predictor_only_no_runtime,no_quality_signal_runtime,runtime_denominator,runtime_native_comparator,0.289309,0.023029,1.000000,0.000000,0.000000,0.000000,0.000000,0.710691,0.000000,232083.171893,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-predictor_only_no_runtime,True,Runtime-native quality-signal ablation comparator.
Autonomous Vehicles,rss_cbf_filter,no_adaptive_response_runtime,runtime_denominator,runtime_native_comparator,0.077952,0.015636,1.000000,0.386981,0.000000,0.000000,0.000000,0.922048,0.000000,209747.535303,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-rss_cbf_filter,True,Runtime-native non-adaptive-response comparator.
Autonomous Vehicles,stale_certificate_no_temporal_guard,no_temporal_guard_or_no_certificate_refresh_runtime,runtime_denominator,runtime_native_comparator,0.263610,0.017092,1.000000,0.340679,0.000000,0.000000,0.000000,0.736390,0.000000,223081.711788,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-stale_certificate_no_temporal_guard,True,Runtime-native temporal-guard/certificate-refresh ablation comparator.
Autonomous Vehicles,orius,orius_full_stack,runtime_denominator,runtime_native_full_stack,0.000163,0.000157,1.000000,0.500301,0.173716,0.999924,1.000000,0.999837,0.999837,116191.503707,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-orius,True,Canonical ORIUS runtime full-stack row.
Autonomous Vehicles,always_brake,degenerate_fallback_runtime,runtime_denominator,runtime_native_degenerate_fallback,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1.000000,0.000000,69226.115673,1531104,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_summary.csv,reports/orius_av/nuplan_allzip_grouped_runtime_dropout_aligned_m15_fulltest/runtime_traces.csv,nuplan:nuplan-v1_1_train_boston-444cdb40bfb8:2021.08.18.18.32.06_veh-28_00173_00332:scene-0005:0-10-always_brake,True,Degenerate safe fallback comparator for non-vacuous utility checks.
