controller,fault_family,target,coverage,mean_width
always_brake,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
always_brake,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
always_brake,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
always_brake,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
always_brake,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
always_brake,dropout,relative_gap_m,0.902271754774964,64.42211191580462
always_brake,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
always_brake,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
always_brake,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
always_brake,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
always_brake,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
always_brake,stale,relative_gap_m,0.9025206361050226,64.68548438122676
baseline,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
baseline,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
baseline,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
baseline,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
baseline,dropout,ego_speed_mps,0.891690979110748,0.418788551796429
baseline,dropout,relative_gap_m,0.902271754774964,64.42211191580462
baseline,out_of_order,ego_speed_mps,0.8970814252864527,0.38952386639154934
baseline,out_of_order,relative_gap_m,0.9058902144218863,65.77733496919183
baseline,spikes,ego_speed_mps,0.893531351323801,0.41663851319631406
baseline,spikes,relative_gap_m,0.9080612088872858,65.3760033022419
baseline,stale,ego_speed_mps,0.8950551073388363,0.39565425650181746
baseline,stale,relative_gap_m,0.9025206361050226,64.68548438122676
nonreliability_conformal_runtime,delay_jitter,ego_speed_mps,0.8960414556222239,0.40364864229339714
nonreliability_conformal_runtime,delay_jitter,relative_gap_m,0.9084664536741214,65.85393019913742
nonreliability_conformal_runtime,drift_combo,ego_speed_mps,0.8953717596730941,0.4171117102094709
nonreliability_conformal_runtime,drift_combo,relative_gap_m,0.9051805324990423,64.70605317036721
